合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,169259,40155,129104,81.04,80448,44436,36012,2026-05-15
159915,创业板ETF易方达,2888552,1543488,1345064,121.2,1732375,783164,949211,2026-05-15
159919,沪深300ETF嘉实,181090,99426,81664,69.1,205084,121278,83806,2026-05-15
159922,中证500ETF嘉实,408825,208096,200729,58.87,343633,216299,127334,2026-05-15
