合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,50940,29109,21831,57.05,56585,36031,20554,2026-09-01
159915,创业板ETF易方达,1283050,691287,591763,85.42,1516267,817727,698540,2026-09-01
159919,沪深300ETF嘉实,52307,30699,21608,49.35,184592,123593,60999,2026-09-01
159922,中证500ETF嘉实,181283,119520,61763,56.22,321811,206002,115809,2026-09-01
