合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,48091,22825,25266,63.42,41872,25622,16250,2026-09-23
159915,创业板ETF易方达,1373104,775033,598071,81.54,1061827,584884,476943,2026-09-23
159919,沪深300ETF嘉实,125279,83826,41453,51.28,132249,87421,44828,2026-09-23
159922,中证500ETF嘉实,226277,178590,47687,56.97,244360,155674,88686,2026-09-23
