合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,73078,32529,40549,121.21,80206,36258,43948,2026-04-16
159915,创业板ETF易方达,2664489,1497616,1166873,138.51,1675780,702613,973167,2026-04-16
159919,沪深300ETF嘉实,138736,91746,46990,71.68,213752,124507,89245,2026-04-16
159922,中证500ETF嘉实,319901,165696,154205,86.52,335386,179810,155576,2026-04-16
