合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,68944,34671,34273,94.42,81563,41952,39611,2026-05-26
159915,创业板ETF易方达,2456813,1321695,1135118,140.16,1657197,690031,967166,2026-05-26
159919,沪深300ETF嘉实,144702,93133,51569,65.41,231764,140117,91647,2026-05-26
159922,中证500ETF嘉实,335497,169653,165844,64.17,372627,226973,145654,2026-05-26
