合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,93546,79168,14378,82.0,64683,35541,29142,2026-04-09
159915,创业板ETF易方达,1112382,570555,541827,114.17,1240213,579088,661125,2026-04-09
159919,沪深300ETF嘉实,84140,50107,34033,57.35,208061,132232,75829,2026-04-09
159922,中证500ETF嘉实,243097,138390,104707,73.9,339697,195337,144360,2026-04-09
