合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,124,20406,571349,334148,237201,70.99,1357420,766144,591276,2026-04-09
510300,沪深300ETF华泰柏瑞,124,38182,757778,435479,322299,74.01,1240060,701369,538691,2026-04-09
510500,中证500ETF南方,136,170584,1495629,747639,747990,100.05,1345577,668162,677415,2026-04-09
588000,科创50ETF华夏,116,35376,1148464,651386,497078,76.31,1837382,1033329,804053,2026-04-09
588080,科创50ETF易方达,108,5041,232705,167353,65352,39.05,432830,260734,172096,2026-04-09
