合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,116,20406,466119,273853,192266,70.21,1178052,674737,503315,2026-04-27
510300,沪深300ETF华泰柏瑞,120,37245,544844,296994,247850,83.45,1080368,600350,480018,2026-04-27
510500,中证500ETF南方,132,144142,901901,463850,438051,94.44,1115839,525836,590003,2026-04-27
588000,科创50ETF华夏,112,88437,1723954,967749,756205,78.14,1674414,880127,794287,2026-04-27
588080,科创50ETF易方达,106,11255,240618,140056,100562,71.8,385684,205031,180653,2026-04-27
