ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2609,C,3900,147,81,3,773.0,1.4,750.8,1,775.4,1,4769.369,4635.0
IO2609,C,4000,147,524,125,673.0,-5.0,659.8,1,683.6,1,4769.369,4635.0
IO2609,C,4100,147,158,2,576.8,-16.0,573.2,1,596.4,1,4769.369,4635.0
IO2609,C,4200,147,507,15,501.4,-5.8,489.2,1,507.2,1,4769.369,4635.0
IO2609,C,4300,147,343,15,423.0,-2.4,419.0,1,428.4,1,4769.369,4635.0
IO2609,C,4400,147,687,95,350.6,-1.6,339.6,1,356.8,1,4769.369,4635.0
IO2609,C,4500,147,2043,109,289.2,-4.0,276.4,1,293.6,1,4769.369,4635.0
IO2609,C,4600,147,891,78,236.2,3.6,224.2,2,234.2,1,4769.369,4635.0
IO2609,C,4700,147,1011,124,188.0,2.8,183.2,1,188.2,3,4769.369,4635.0
IO2609,C,4800,147,1121,84,154.6,6.4,145.2,1,151.6,1,4769.369,4635.0
IO2609,C,4900,147,1052,67,126.0,4.8,117.6,1,125.4,1,4769.369,4635.0
IO2609,C,5000,147,1426,129,99.6,0.0,99.6,6,101.6,1,4769.369,4635.0
IO2609,C,5200,147,2524,264,68.6,-0.4,68.8,1,71.4,1,4769.369,4635.0
IO2609,C,5400,147,4156,603,50.0,0.0,49.4,1,50.2,1,4769.369,4635.0
IO2609,P,3900,147,450,27,29.6,1.2,28.0,1,30.0,2,4769.369,4635.0
IO2609,P,4000,147,1695,117,36.2,-0.2,35.8,1,38.2,3,4769.369,4635.0
IO2609,P,4100,147,721,37,48.6,1.8,47.2,2,49.2,1,4769.369,4635.0
IO2609,P,4200,147,419,44,64.2,2.2,63.6,1,66.2,1,4769.369,4635.0
IO2609,P,4300,147,535,27,83.0,2.0,81.0,1,86.4,1,4769.369,4635.0
IO2609,P,4400,147,782,81,111.4,4.0,107.4,1,113.4,3,4769.369,4635.0
IO2609,P,4500,147,898,126,145.4,1.6,141.2,1,147.2,3,4769.369,4635.0
IO2609,P,4600,147,456,144,188.2,0.6,185.6,1,196.8,1,4769.369,4635.0
IO2609,P,4700,147,284,30,243.6,4.8,239.4,2,251.0,2,4769.369,4635.0
IO2609,P,4800,147,385,21,301.0,0.2,297.8,1,308.0,2,4769.369,4635.0
IO2609,P,4900,147,350,17,402.8,32.4,369.0,1,389.0,1,4769.369,4635.0
IO2609,P,5000,147,552,37,443.6,-4.2,447.6,1,466.8,1,4769.369,4635.0
IO2609,P,5200,147,210,0,612.2,-1.0,612.8,1,636.6,1,4769.369,4635.0
IO2609,P,5400,147,422,3,825.6,33.0,790.6,1,816.0,1,4769.369,4635.0
