合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,80920,26870,54050,71.64,68978,40188,28790,2026-05-11
159915,创业板ETF易方达,2361412,1373107,988305,134.28,1572368,671145,901223,2026-05-11
159919,沪深300ETF嘉实,157999,108213,49786,66.86,204237,122402,81835,2026-05-11
159922,中证500ETF嘉实,305821,207796,98025,66.19,321445,193420,128025,2026-05-11
