合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,138872,70636,68236,144.76,93201,38079,55122,2026-03-20
159915,创业板ETF易方达,2889582,1304022,1585560,139.64,1449988,605079,844909,2026-03-20
159919,沪深300ETF嘉实,183823,90333,93490,71.35,251131,146558,104573,2026-03-20
159922,中证500ETF嘉实,485668,231462,254206,75.09,442233,252573,189660,2026-03-20
