ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2605,C,7100,56,0,0,801.6,0.0,698.8,1,724.8,1,7783.435,
MO2605,C,7200,56,31,19,658.6,-56.4,621.0,1,648.0,1,7783.435,
MO2605,C,7300,56,30,15,602.0,-44.0,547.8,1,575.2,1,7783.435,
MO2605,C,7400,56,54,15,602.0,38.4,486.8,1,498.0,1,7783.435,
MO2605,C,7500,56,48,51,434.8,-65.2,431.0,1,434.6,1,7783.435,
MO2605,C,7600,56,46,57,375.0,-56.4,365.6,1,376.2,1,7783.435,
MO2605,C,7700,56,75,57,310.0,-60.2,308.8,2,310.0,1,7783.435,
MO2605,C,7800,56,106,81,272.8,-42.6,262.4,1,274.2,1,7783.435,
MO2605,C,7900,56,525,401,228.4,-43.8,222.4,1,228.4,1,7783.435,
MO2605,C,8000,56,1093,1015,191.4,-33.6,190.2,1,191.6,1,7783.435,
MO2605,C,8100,56,401,379,155.8,-38.0,152.6,1,159.8,1,7783.435,
MO2605,C,8200,56,327,391,130.2,-26.2,125.2,1,132.6,1,7783.435,
MO2605,C,8300,56,344,379,104.2,-23.2,103.4,1,107.4,1,7783.435,
MO2605,C,8400,56,496,587,87.2,-17.8,86.0,1,89.0,2,7783.435,
MO2605,C,8500,56,356,352,73.4,-10.8,72.0,1,73.6,1,7783.435,
MO2605,C,8600,56,351,430,58.4,-13.0,56.0,2,59.2,1,7783.435,
MO2605,C,8700,56,242,263,49.0,-8.6,47.4,1,48.8,2,7783.435,
MO2605,C,8800,56,336,505,40.8,-8.8,39.2,2,40.0,5,7783.435,
MO2605,C,8900,56,255,331,33.4,-7.4,33.0,2,33.8,1,7783.435,
MO2605,C,9000,56,278,230,28.2,-6.2,26.6,3,28.4,1,7783.435,
MO2605,C,9100,56,152,200,23.8,-5.0,22.6,1,23.6,1,7783.435,
MO2605,C,9200,56,198,183,19.8,-5.0,19.4,1,20.2,1,7783.435,
MO2605,C,9300,56,136,192,16.8,-4.8,16.2,5,17.6,4,7783.435,
MO2605,C,9400,56,175,339,14.8,-4.0,14.4,1,14.6,1,7783.435,
MO2605,C,9500,56,579,670,13.6,-2.8,13.0,1,13.6,1,7783.435,
MO2605,P,7100,56,260,628,115.6,23.0,114.4,1,116.0,2,7783.435,
MO2605,P,7200,56,812,449,137.6,22.8,142.0,1,144.4,1,7783.435,
MO2605,P,7300,56,577,296,166.2,30.0,163.2,1,171.2,1,7783.435,
MO2605,P,7400,56,429,322,197.6,32.4,194.4,1,202.4,2,7783.435,
MO2605,P,7500,56,406,269,231.2,37.8,231.4,3,233.6,1,7783.435,
MO2605,P,7600,56,1291,263,271.4,43.4,268.0,2,277.0,1,7783.435,
MO2605,P,7700,56,376,256,310.2,44.2,313.6,1,328.6,1,7783.435,
MO2605,P,7800,56,708,577,362.4,50.0,365.0,2,377.8,1,7783.435,
MO2605,P,7900,56,454,382,422.6,61.8,422.8,1,434.2,1,7783.435,
MO2605,P,8000,56,396,245,483.0,70.0,486.0,1,498.0,1,7783.435,
MO2605,P,8100,56,266,141,515.0,33.4,544.8,1,571.4,1,7783.435,
MO2605,P,8200,56,190,146,607.4,57.4,617.2,1,643.8,1,7783.435,
MO2605,P,8300,56,124,62,696.2,80.2,694.0,1,720.2,1,7783.435,
MO2605,P,8400,56,159,41,741.2,48.8,774.4,1,799.8,1,7783.435,
MO2605,P,8500,56,114,4,832.2,44.4,858.4,1,888.4,1,7783.435,
MO2605,P,8600,56,57,2,804.4,-60.8,945.2,1,975.2,1,7783.435,
MO2605,P,8700,56,47,0,970.0,26.4,1025.4,1,1065.2,1,7783.435,
MO2605,P,8800,56,23,7,1032.4,-9.4,1110.6,1,1170.6,1,7783.435,
MO2605,P,8900,56,16,9,1145.4,-34.8,1203.4,1,1257.8,1,7783.435,
MO2605,P,9000,56,8,0,1225.8,-47.8,1297.6,1,1351.4,1,7783.435,
MO2605,P,9100,56,5,0,1321.6,-46.4,1392.8,1,1446.8,1,7783.435,
MO2605,P,9200,56,7,5,1407.4,-56.2,1489.0,1,1540.8,1,7783.435,
MO2605,P,9300,56,6,0,1411.2,-148.6,1585.6,1,1645.6,1,7783.435,
MO2605,P,9400,56,9,0,1635.4,-21.4,1683.0,1,1743.0,1,7783.435,
MO2605,P,9500,56,10,0,1732.6,-21.6,1780.8,1,1840.8,1,7783.435,
