ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
MO2603,C,4900,16,193,54,3287.2,-26.4,3241.2,1,3295.6,1,8203.869
MO2603,C,5000,16,204,22,3180.2,-33.4,3142.2,1,3165.0,1,8203.869
MO2603,C,5200,16,215,55,2925.0,-88.6,2943.6,1,3005.4,1,8203.869
MO2603,C,5400,16,238,83,2663.4,-150.2,2743.6,1,2795.0,1,8203.869
MO2603,C,5600,16,471,58,2492.4,-121.4,2545.2,1,2591.8,1,8203.869
MO2603,C,5800,16,869,65,2325.8,-88.0,2341.8,1,2410.2,1,8203.869
MO2603,C,6000,16,976,76,2188.6,-25.4,2145.0,1,2191.6,1,8203.869
MO2603,C,6200,16,1289,57,1790.2,-224.0,1958.8,1,1992.4,1,8203.869
MO2603,C,6400,16,891,117,1789.0,-25.4,1759.6,1,1792.0,1,8203.869
MO2603,C,6500,16,55,100,1683.4,-31.2,1660.0,1,1696.4,1,8203.869
MO2603,C,6600,16,886,64,1577.8,-37.0,1560.6,1,1593.2,1,8203.869
MO2603,C,6700,16,44,40,1326.2,-188.8,1461.2,1,1499.0,1,8203.869
MO2603,C,6800,16,575,85,1375.2,-40.2,1362.0,1,1400.4,1,8203.869
MO2603,C,6900,16,63,47,1276.8,-39.0,1263.2,1,1300.0,1,8203.869
MO2603,C,7000,16,790,113,1178.4,-38.0,1164.4,1,1197.6,1,8203.869
MO2603,C,7100,16,50,108,1081.6,-33.4,1066.0,1,1105.4,1,8203.869
MO2603,C,7200,16,925,161,976.8,-39.4,983.0,1,993.0,1,8203.869
MO2603,C,7300,16,238,164,896.4,-22.2,885.8,1,898.0,1,8203.869
MO2603,C,7400,16,1299,358,785.8,-35.0,788.8,1,800.8,1,8203.869
MO2603,C,7500,16,713,388,691.0,-33.8,694.4,1,707.2,1,8203.869
MO2603,C,7600,16,1098,1150,600.0,-30.0,600.0,1,612.4,1,8203.869
MO2603,C,7700,16,757,1081,506.4,-33.6,511.8,1,514.4,1,8203.869
MO2603,C,7800,16,1675,3596,426.0,-18.2,426.0,1,426.2,1,8203.869
MO2603,C,7900,16,1604,4882,335.6,-22.6,330.0,1,335.6,1,8203.869
MO2603,C,8000,16,3827,16143,258.8,-19.8,258.6,1,259.4,1,8203.869
MO2603,C,8100,16,3657,24112,191.4,-18.2,191.2,1,192.0,1,8203.869
MO2603,C,8200,16,5802,21849,126.2,-16.0,125.8,1,126.2,3,8203.869
