合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,92,18518,652631,459731,192900,41.96,1259516,747565,511951,2026-09-08
510300,沪深300ETF华泰柏瑞,98,34707,582545,329716,252829,76.68,1128934,638230,490704,2026-09-08
510500,中证500ETF南方,158,158546,1197864,652566,545298,83.56,1400183,682270,717913,2026-09-08
588000,科创50ETF华夏,166,91972,2882544,2090586,791958,37.88,2593941,1330135,1263806,2026-09-08
588080,科创50ETF易方达,160,10589,246986,147296,99690,67.68,541349,286911,254438,2026-09-08
