合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,79359,39369,39990,134.82,100081,42620,57461,2026-03-18
159915,创业板ETF易方达,1872237,859782,1012455,129.69,1468438,639305,829133,2026-03-18
159919,沪深300ETF嘉实,140255,59867,80388,82.22,239356,131352,108004,2026-03-18
159922,中证500ETF嘉实,304982,127543,177439,84.31,393256,213369,179887,2026-03-18
