合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,53847,33092,20755,51.28,62716,41456,21260,2026-09-07
159915,创业板ETF易方达,1625192,907042,718150,87.67,1574635,839032,735603,2026-09-07
159919,沪深300ETF嘉实,51450,36236,15214,48.81,192291,129220,63071,2026-09-07
159922,中证500ETF嘉实,164512,108705,55807,56.64,343855,219515,124340,2026-09-07
