合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,118,33927,907741,542863,364878,67.21,1633882,1020632,613250,2026-06-04
510300,沪深300ETF华泰柏瑞,126,56625,1137662,611351,526311,86.09,1232153,685237,546916,2026-06-04
510500,中证500ETF南方,136,188741,1412756,644724,768032,119.13,1351233,640153,711080,2026-06-04
588000,科创50ETF华夏,156,128703,2931667,999801,1931866,193.23,2465821,1113952,1351869,2026-06-04
588080,科创50ETF易方达,152,20779,466107,166794,299313,179.45,535257,247580,287677,2026-06-04
