合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,49272,13546,35726,108.18,75365,36202,39163,2026-06-04
159915,创业板ETF易方达,1580645,769063,811582,140.85,1402347,582260,820087,2026-06-04
159919,沪深300ETF嘉实,116111,61707,54404,65.61,209886,126734,83152,2026-06-04
159922,中证500ETF嘉实,204041,101676,102365,68.44,316805,188080,128725,2026-06-04
