合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,96,76331,1434406,903593,530813,58.74,1514602,899044,615558,2026-07-01
510300,沪深300ETF华泰柏瑞,98,76759,1138871,523565,615306,117.52,1115526,616006,499520,2026-07-01
510500,中证500ETF南方,110,267797,1689802,846347,843455,99.66,1117510,484114,633396,2026-07-01
588000,科创50ETF华夏,184,342523,3260111,1620918,1639193,101.13,2310782,849326,1461456,2026-07-01
588080,科创50ETF易方达,174,49864,546019,236805,309214,130.58,455039,167402,287637,2026-07-01
