合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,94,20527,476679,312900,163779,52.34,1493489,930078,563411,2026-08-04
510300,沪深300ETF华泰柏瑞,104,45061,591353,365394,225959,61.84,1191793,699306,492487,2026-08-04
510500,中证500ETF南方,186,192201,1255521,743727,511794,68.81,1495430,775492,719938,2026-08-04
588000,科创50ETF华夏,188,150577,2133299,1175705,957594,81.45,2726421,1498161,1228260,2026-08-04
588080,科创50ETF易方达,180,16954,276815,160210,116605,72.78,530445,304367,226078,2026-08-04
