合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,91638,23747,67891,161.55,98870,37802,61068,2026-03-06
159915,创业板ETF易方达,1162431,471804,690627,109.92,1290721,614864,675857,2026-03-06
159919,沪深300ETF嘉实,108934,52627,56307,78.37,239175,134091,105084,2026-03-06
159922,中证500ETF嘉实,182633,77445,105188,94.37,338759,174284,164475,2026-03-06
