合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,73511,34658,38853,71.66,79365,46234,33131,2026-09-18
159915,创业板ETF易方达,2310274,1347928,962346,82.2,1752164,961695,790469,2026-09-18
159919,沪深300ETF嘉实,104342,58582,45760,54.11,221993,144047,77946,2026-09-18
159922,中证500ETF嘉实,255800,175196,80604,56.96,381112,242804,138308,2026-09-18
