合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,96,24238,745455,433713,311742,71.88,1439224,885084,554140,2026-09-18
510300,沪深300ETF华泰柏瑞,104,51172,943826,539908,403918,74.81,1262553,663463,599090,2026-09-18
510500,中证500ETF南方,160,205880,1874154,1032910,841244,81.44,1419069,714193,704876,2026-09-18
588000,科创50ETF华夏,170,167094,4728664,3256082,1472582,45.23,2826095,1456065,1370030,2026-09-18
588080,科创50ETF易方达,164,17294,597218,390931,206287,52.77,597031,320985,276046,2026-09-18
