instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount
MO2606-C-5200,145,11,2830.0,78.2,2827.6,6,2845.0,1
MO2606-C-5400,74,0,2501.2,-55.2,2596.6,1,2658.0,1
MO2606-C-5600,194,0,2243.8,-120.2,2403.6,1,2458.8,1
MO2606-C-5800,114,0,2243.0,69.8,2211.8,1,2263.6,1
MO2606-C-6000,382,0,2025.8,47.4,2016.4,1,2073.0,1
MO2606-C-6200,1001,5,1860.0,68.4,1832.6,1,1879.8,1
MO2606-C-6400,867,13,1680.2,77.4,1642.4,1,1691.8,1
MO2606-C-6600,599,1,1477.8,59.0,1453.6,1,1504.0,1
MO2606-C-6800,601,14,1301.4,64.2,1269.0,1,1320.8,1
MO2606-C-7000,1476,32,1116.4,54.6,1092.6,1,1144.4,1
MO2606-C-7200,1168,9,973.6,62.4,928.0,1,974.0,1
MO2606-C-7400,1575,42,792.0,43.0,771.6,1,810.0,1
MO2606-C-7600,1056,50,655.0,46.2,627.4,1,648.2,1
MO2606-C-7800,1384,44,521.0,30.0,512.0,1,530.0,1
MO2606-C-8000,2524,355,412.0,26.2,411.0,1,417.4,2
MO2606-C-8200,2458,315,323.2,21.6,328.0,1,329.0,1
MO2606-C-8400,3210,358,247.6,19.2,244.2,1,254.4,1
MO2606-C-8600,4001,463,194.8,15.8,194.8,1,199.0,1
MO2606-C-8800,1686,160,145.8,10.6,140.6,1,153.2,1
MO2606-C-9000,1828,357,111.6,8.2,109.2,1,116.4,1
MO2606-C-9200,2172,378,85.8,5.4,85.0,1,89.4,1
MO2606-C-9400,1962,328,68.8,4.0,69.0,2,71.6,1
MO2606-C-9600,442,377,53.0,2.0,52.6,1,55.6,3
MO2606-P-5200,1806,379,17.0,-3.0,16.4,1,16.6,1
MO2606-P-5400,765,202,20.4,-2.8,19.0,2,19.4,1
MO2606-P-5600,1242,83,24.0,-4.2,23.0,1,24.0,1
MO2606-P-5800,817,57,28.0,-6.0,26.2,1,28.6,2
MO2606-P-6000,822,79,32.6,-7.8,32.6,16,33.2,1
MO2606-P-6200,956,96,39.0,-9.6,39.0,1,40.6,1
MO2606-P-6400,1342,116,48.8,-9.8,48.2,1,49.8,2
MO2606-P-6600,1392,279,61.0,-13.2,57.6,2,61.8,1
MO2606-P-6800,1870,255,77.2,-14.4,75.0,1,77.0,1
MO2606-P-7000,2282,354,101.6,-16.2,100.0,1,102.0,1
MO2606-P-7200,1926,102,129.2,-26.2,130.4,2,135.4,1
MO2606-P-7400,2147,150,170.6,-28.8,170.0,1,177.0,1
MO2606-P-7600,1593,164,226.6,-32.6,225.6,1,226.2,6
MO2606-P-7800,1435,223,298.0,-44.0,290.4,1,295.0,1
MO2606-P-8000,1827,366,387.4,-41.0,379.4,1,391.6,4
MO2606-P-8200,1519,164,499.6,-60.2,486.8,1,495.0,2
MO2606-P-8400,1081,75,626.8,-49.4,610.2,1,625.0,1
MO2606-P-8600,1186,16,770.4,-53.0,746.2,2,786.8,1
MO2606-P-8800,647,3,925.2,-55.6,899.2,1,940.8,2
MO2606-P-9000,213,1,1082.0,-62.0,1060.2,1,1105.2,1
MO2606-P-9200,247,1,1274.4,-47.2,1228.8,1,1281.0,1
MO2606-P-9400,91,7,1433.0,-68.0,1408.0,1,1459.4,1
MO2606-P-9600,16,12,1603.8,-148.2,1589.4,1,1642.6,1
