日期,合约交易代码,当前价,涨跌幅,前结价,行权价,数量
20260306162909,510300C2606A04300,0.4897,3.64,0.4725,4.191,46
20260306162909,510300C2606A04400,0.399,1.66,0.3925,4.288,46
20260306162909,510300C2606A04500,0.3292,4.51,0.315,4.386,46
20260306162909,510300C2606A04600,0.2619,4.93,0.2496,4.483,46
20260306162909,510300C2606A04700,0.2031,4.85,0.1937,4.581,46
20260306162909,510300C2606A04800,0.1513,3.07,0.1468,4.678,46
20260306162909,510300C2606A04900,0.1116,2.39,0.109,4.776,46
20260306162909,510300C2606A05000,0.0819,1.49,0.0807,4.873,46
20260306162909,510300C2606A05250,0.0394,2.6,0.0384,5.117,46
20260306162909,510300P2606A04300,0.0399,-5.23,0.0421,4.191,46
20260306162909,510300P2606A04400,0.0537,-8.36,0.0586,4.288,46
20260306162909,510300P2606A04500,0.0737,-9.12,0.0811,4.386,46
20260306162909,510300P2606A04600,0.1023,-7.84,0.111,4.483,46
20260306162909,510300P2606A04700,0.1385,-8.4,0.1512,4.581,46
20260306162909,510300P2606A04800,0.1842,-7.85,0.1999,4.678,46
20260306162909,510300P2606A04900,0.2435,-6.06,0.2592,4.776,46
20260306162909,510300P2606A05000,0.3096,-5.29,0.3269,4.873,46
20260306162909,510300P2606A05250,0.5393,0.0,0.5272,5.117,46
20260306162909,510300C2606A05500,0.0223,6.19,0.021,5.361,46
20260306162909,510300P2606A05500,0.745,-0.93,0.752,5.361,46
20260306162909,510300C2606A05750,0.0132,10.92,0.0119,5.604,46
20260306162909,510300P2606A05750,0.9612,-1.59,0.9767,5.604,46
20260306162909,510300C2606A04200,0.5756,2.79,0.56,4.094,46
20260306162909,510300P2606A04200,0.0292,-3.95,0.0304,4.094,46
20260306162909,510300C2606M04300,0.3965,3.47,0.3832,4.3,46
20260306162909,510300C2606M04400,0.319,3.47,0.3083,4.4,46
20260306162909,510300C2606M04500,0.25,4.6,0.239,4.5,46
20260306162909,510300C2606M04600,0.19,3.32,0.1839,4.6,46
20260306162909,510300C2606M04700,0.1412,2.84,0.1373,4.7,46
20260306162909,510300C2606M04800,0.1039,2.77,0.1011,4.8,46
20260306162909,510300C2606M04900,0.0748,1.49,0.0737,4.9,46
20260306162909,510300C2606M05000,0.0546,0.55,0.0543,5.0,46
20260306162909,510300C2606M05250,0.028,4.87,0.0267,5.25,46
20260306162909,510300P2606M04300,0.0564,-6.47,0.0603,4.3,46
20260306162909,510300P2606M04400,0.0783,-7.88,0.085,4.4,46
20260306162909,510300P2606M04500,0.1076,-8.19,0.1172,4.5,46
20260306162909,510300P2606M04600,0.1455,-8.49,0.159,4.6,46
20260306162909,510300P2606M04700,0.1985,-7.2,0.2139,4.7,46
20260306162909,510300P2606M04800,0.2591,-6.83,0.2781,4.8,46
20260306162909,510300P2606M04900,0.332,-4.49,0.3476,4.9,46
20260306162909,510300P2606M05000,0.4097,-3.98,0.4267,5.0,46
20260306162909,510300P2606M05250,0.6228,-3.84,0.6477,5.25,46
20260306162909,510300C2606M05500,0.0162,10.2,0.0147,5.5,46
20260306162909,510300P2606M05500,0.9034,2.22,0.8838,5.5,46
20260306162909,510300C2606M04200,0.4796,3.92,0.4615,4.2,46
20260306162909,510300P2606M04200,0.0411,-5.08,0.0433,4.2,46
