日期,合约交易代码,当前价,涨跌幅,前结价,行权价,数量
20260306162909,588000C2606M01300,0.2039,2.77,0.1984,1.3,30
20260306162909,588000C2606M01350,0.1654,2.67,0.1611,1.35,30
20260306162909,588000C2606M01400,0.1334,3.09,0.1294,1.4,30
20260306162909,588000C2606M01450,0.1051,2.74,0.1023,1.45,30
20260306162909,588000C2606M01500,0.0823,2.88,0.08,1.5,30
20260306162909,588000C2606M01550,0.0615,-1.76,0.0626,1.55,30
20260306162909,588000C2606M01600,0.0501,1.21,0.0495,1.6,30
20260306162909,588000C2606M01650,0.0388,0.52,0.0386,1.65,30
20260306162909,588000C2606M01700,0.0305,1.67,0.03,1.7,30
20260306162909,588000P2606M01300,0.0247,-10.51,0.0276,1.3,30
20260306162909,588000P2606M01350,0.0371,-9.07,0.0408,1.35,30
20260306162909,588000P2606M01400,0.0547,-5.36,0.0578,1.4,30
20260306162909,588000P2606M01450,0.0749,-6.38,0.08,1.45,30
20260306162909,588000P2606M01500,0.1033,-5.32,0.1091,1.5,30
20260306162909,588000P2606M01550,0.1347,-3.85,0.1401,1.55,30
20260306162909,588000P2606M01600,0.1716,-2.83,0.1766,1.6,30
20260306162909,588000P2606M01650,0.2087,-3.78,0.2169,1.65,30
20260306162909,588000P2606M01700,0.2476,-3.28,0.256,1.7,30
20260306162909,588000C2606M01250,0.2444,2.52,0.2384,1.25,30
20260306162909,588000P2606M01250,0.0164,-11.35,0.0185,1.25,30
20260306162909,588000C2606M01750,0.0242,0.41,0.0241,1.75,30
20260306162909,588000P2606M01750,0.2917,-3.06,0.3009,1.75,30
20260306162909,588000C2606M01200,0.2828,0.28,0.282,1.2,30
20260306162909,588000P2606M01200,0.0109,-12.8,0.0125,1.2,30
20260306162909,588000C2606M01150,0.333,0.3,0.332,1.15,30
20260306162909,588000P2606M01150,0.0074,-14.94,0.0087,1.15,30
20260306162909,588000C2606M01800,0.0182,-4.21,0.019,1.8,30
20260306162909,588000P2606M01800,0.335,-2.9,0.345,1.8,30
20260306162909,588000C2606M01850,0.0147,0.0,0.0147,1.85,30
20260306162909,588000P2606M01850,0.385,-1.56,0.3911,1.85,30
