ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
HO2609,C,2600,196,240,5,380.6,2.6,368.6,1,383.4,1,2985.345
HO2609,C,2700,196,129,0,297.2,1.4,288.0,2,307.0,1,2985.345
HO2609,C,2800,196,223,0,235.2,5.0,229.2,1,236.4,1,2985.345
HO2609,C,2900,196,579,10,176.8,-2.2,179.8,2,182.4,1,2985.345
HO2609,C,3000,196,297,0,129.0,-6.0,134.4,1,139.4,1,2985.345
HO2609,C,3100,196,357,7,99.2,0.0,100.0,5,103.0,3,2985.345
HO2609,C,3200,196,273,2,76.0,2.0,74.4,1,77.0,2,2985.345
HO2609,C,3300,196,349,7,57.2,3.8,54.4,1,57.6,2,2985.345
HO2609,C,3400,196,924,21,44.0,3.6,41.8,2,44.0,1,2985.345
HO2609,C,3500,196,504,14,32.8,0.4,32.6,10,35.0,4,2985.345
HO2609,P,2600,196,536,22,30.4,-1.0,30.2,2,32.6,1,2985.345
HO2609,P,2700,196,352,2,52.4,-0.6,51.8,1,54.8,2,2985.345
HO2609,P,2800,196,196,0,88.8,1.0,83.2,1,89.4,1,2985.345
HO2609,P,2900,196,187,18,130.0,-2.4,128.4,2,129.8,4,2985.345
HO2609,P,3000,196,162,2,183.4,-6.0,181.0,1,192.6,1,2985.345
HO2609,P,3100,196,191,0,273.0,19.0,245.8,1,257.8,1,2985.345
HO2609,P,3200,196,190,2,321.8,-7.2,317.2,1,336.0,1,2985.345
HO2609,P,3300,196,216,0,401.8,-4.0,397.4,1,415.8,1,2985.345
HO2609,P,3400,196,253,1,488.2,-3.2,482.8,1,501.8,1,2985.345
HO2609,P,3500,196,219,3,580.6,0.8,567.0,1,597.2,1,2985.345
