ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2608,C,4200,57,35,30,747.0,74.2,731.0,1,759.6,1,5020.104,4932.2
IO2608,C,4250,57,37,8,678.8,52.2,683.6,1,712.0,1,5020.104,4932.2
IO2608,C,4300,57,60,18,644.2,64.0,636.6,1,664.8,1,5020.104,4932.2
IO2608,C,4350,57,68,10,585.6,51.4,590.8,1,618.2,1,5020.104,4932.2
IO2608,C,4400,57,48,7,540.2,49.4,545.6,1,572.6,1,5020.104,4932.2
IO2608,C,4450,57,37,35,507.0,59.0,507.2,1,523.0,1,5020.104,4932.2
IO2608,C,4500,57,42,16,444.0,37.4,463.4,1,476.6,1,5020.104,4932.2
IO2608,C,4550,57,24,0,364.2,-2.8,421.4,1,434.4,1,5020.104,4932.2
IO2608,C,4600,57,38,59,387.8,58.6,380.0,1,393.6,1,5020.104,4932.2
IO2608,C,4650,57,54,6,346.8,53.4,341.0,1,354.6,1,5020.104,4932.2
IO2608,C,4700,57,71,46,296.4,36.4,303.8,1,317.6,1,5020.104,4932.2
IO2608,C,4750,57,123,58,262.2,33.2,268.6,1,282.8,1,5020.104,4932.2
IO2608,C,4800,57,333,178,244.0,43.6,239.4,1,246.8,1,5020.104,4932.2
IO2608,C,4850,57,282,250,211.2,36.8,209.0,1,216.8,1,5020.104,4932.2
IO2608,C,4900,57,405,238,187.6,37.4,181.8,1,189.4,1,5020.104,4932.2
IO2608,C,4950,57,471,336,163.2,32.2,156.6,2,164.6,3,5020.104,4932.2
IO2608,C,5000,57,1030,779,141.0,29.0,134.2,1,141.0,1,5020.104,4932.2
IO2608,C,5100,57,728,440,103.0,21.2,103.0,1,104.2,1,5020.104,4932.2
IO2608,C,5200,57,880,348,74.4,16.0,70.8,2,74.4,1,5020.104,4932.2
IO2608,C,5300,57,698,372,53.4,11.4,51.8,1,54.0,2,5020.104,4932.2
IO2608,C,5400,57,436,185,37.8,8.2,38.2,1,38.8,2,5020.104,4932.2
IO2608,C,5500,57,596,211,26.6,4.4,25.6,1,27.4,1,5020.104,4932.2
IO2608,C,5600,57,352,302,19.0,3.0,19.2,1,19.8,1,5020.104,4932.2
IO2608,P,4200,57,450,85,10.6,-3.0,10.8,1,11.0,3,5020.104,4932.2
IO2608,P,4250,57,436,15,13.6,-3.8,12.6,4,13.4,1,5020.104,4932.2
IO2608,P,4300,57,1098,69,15.8,-5.0,15.4,1,15.6,1,5020.104,4932.2
IO2608,P,4350,57,957,310,18.8,-7.0,18.6,3,19.4,1,5020.104,4932.2
IO2608,P,4400,57,574,72,22.8,-8.8,22.6,1,24.2,1,5020.104,4932.2
IO2608,P,4450,57,325,87,29.2,-9.4,27.0,2,28.4,1,5020.104,4932.2
IO2608,P,4500,57,494,209,35.0,-11.8,33.6,1,35.4,1,5020.104,4932.2
IO2608,P,4550,57,591,88,43.2,-13.8,41.0,1,43.0,1,5020.104,4932.2
IO2608,P,4600,57,592,196,52.4,-16.2,50.2,1,51.4,6,5020.104,4932.2
IO2608,P,4650,57,323,68,61.2,-22.6,59.2,2,64.2,1,5020.104,4932.2
IO2608,P,4700,57,367,194,77.8,-21.2,72.0,2,74.6,2,5020.104,4932.2
IO2608,P,4750,57,337,108,88.6,-29.2,86.8,1,91.8,1,5020.104,4932.2
IO2608,P,4800,57,444,318,106.4,-32.6,105.0,1,109.2,1,5020.104,4932.2
IO2608,P,4850,57,303,374,126.0,-36.8,122.4,1,130.4,1,5020.104,4932.2
IO2608,P,4900,57,382,379,149.0,-40.2,144.8,1,146.6,1,5020.104,4932.2
IO2608,P,4950,57,183,157,172.2,-45.8,169.8,1,172.2,1,5020.104,4932.2
IO2608,P,5000,57,388,505,199.6,-51.2,200.4,1,205.8,2,5020.104,4932.2
IO2608,P,5100,57,110,101,273.4,-45.0,257.0,1,268.2,1,5020.104,4932.2
IO2608,P,5200,57,72,16,351.8,-43.6,328.4,1,343.0,1,5020.104,4932.2
IO2608,P,5300,57,70,32,421.8,-57.2,407.2,1,422.0,1,5020.104,4932.2
IO2608,P,5400,57,76,25,504.8,-62.0,492.0,1,505.8,1,5020.104,4932.2
IO2608,P,5500,57,38,2,606.0,-52.6,573.6,1,600.8,1,5020.104,4932.2
IO2608,P,5600,57,6,13,698.6,-53.6,666.0,1,693.6,1,5020.104,4932.2
