合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,197325,20008,177317,73.62,72146,41553,30593,2026-07-15
159915,创业板ETF易方达,2489473,1357279,1132194,79.53,1957746,1090459,867287,2026-07-15
159919,沪深300ETF嘉实,149384,76750,72634,57.08,248225,158021,90204,2026-07-15
159922,中证500ETF嘉实,321117,133206,187911,54.59,371742,240468,131274,2026-07-15
