合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,94,47077,841321,457985,383336,83.7,1392507,840455,552052,2026-07-30
510300,沪深300ETF华泰柏瑞,104,113827,1230077,654077,576000,88.06,1181932,695533,486399,2026-07-30
510500,中证500ETF南方,178,382821,1868418,874390,994028,113.68,1489848,790733,699115,2026-07-30
588000,科创50ETF华夏,176,255566,2639438,1329306,1310132,98.56,2648679,1458739,1189940,2026-07-30
588080,科创50ETF易方达,172,32932,382032,183731,198301,107.93,479887,274066,205821,2026-07-30
