合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,94,23357,632435,371856,260579,70.08,1445656,888114,557542,2026-08-13
510300,沪深300ETF华泰柏瑞,104,42400,674613,382047,292566,76.58,1184027,672531,511496,2026-08-13
510500,中证500ETF南方,188,187877,1501404,866947,634457,73.18,1541194,748077,793117,2026-08-13
588000,科创50ETF华夏,188,137849,3164915,1348077,1816838,134.77,2858048,1468654,1389394,2026-08-13
588080,科创50ETF易方达,180,15271,416202,144160,272042,188.71,606360,305412,300948,2026-08-13
