合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,59762,18590,41172,75.2,49225,28097,21128,2026-04-23
159915,创业板ETF易方达,1738638,962118,776520,114.39,1217389,567848,649541,2026-04-23
159919,沪深300ETF嘉实,133983,80733,53250,69.81,152537,89829,62708,2026-04-23
159922,中证500ETF嘉实,237304,153738,83566,78.0,242248,136098,106150,2026-04-23
