合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,49879,17351,32528,74.72,66468,38042,28426,2026-04-30
159915,创业板ETF易方达,1304874,704810,600064,110.53,1469270,697886,771384,2026-04-30
159919,沪深300ETF嘉实,79173,47325,31848,66.59,187701,112673,75028,2026-04-30
159922,中证500ETF嘉实,127000,82365,44635,68.49,285145,169237,115908,2026-04-30
