ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
HO2609,C,2500,149,46,0,395.0,-1.0,397.0,1,410.6,1,2930.575,2883.0
HO2609,C,2600,149,379,22,319.0,10.0,309.2,1,327.2,1,2930.575,2883.0
HO2609,C,2700,149,290,5,238.0,1.2,236.2,1,248.2,1,2930.575,2883.0
HO2609,C,2800,149,607,17,175.2,-1.0,173.2,1,184.8,2,2930.575,2883.0
HO2609,C,2900,149,989,127,131.4,2.2,124.0,2,135.6,1,2930.575,2883.0
HO2609,C,3000,149,555,177,90.0,-0.4,88.8,2,94.4,1,2930.575,2883.0
HO2609,C,3100,149,552,67,62.4,-4.0,61.2,1,67.8,1,2930.575,2883.0
HO2609,C,3200,149,804,370,45.0,-3.4,44.8,1,45.0,1,2930.575,2883.0
HO2609,C,3300,149,445,80,31.0,-5.0,32.6,1,35.4,3,2930.575,2883.0
HO2609,C,3400,149,1211,137,26.6,-2.2,25.2,4,27.4,1,2930.575,2883.0
HO2609,C,3500,149,889,41,20.2,-3.0,20.0,1,20.8,4,2930.575,2883.0
HO2609,P,2500,149,620,317,19.6,3.0,19.4,1,19.8,2,2930.575,2883.0
HO2609,P,2600,149,874,395,34.8,3.8,34.0,1,34.6,6,2930.575,2883.0
HO2609,P,2700,149,626,20,56.0,-0.2,55.6,1,59.6,1,2930.575,2883.0
HO2609,P,2800,149,310,10,93.0,0.6,91.6,2,96.4,1,2930.575,2883.0
HO2609,P,2900,149,397,26,140.0,-2.8,138.8,1,144.8,1,2930.575,2883.0
HO2609,P,3000,149,265,2,205.2,0.0,199.6,1,208.0,1,2930.575,2883.0
HO2609,P,3100,149,239,2,276.2,-3.2,268.6,1,287.8,1,2930.575,2883.0
HO2609,P,3200,149,242,5,357.4,-5.8,349.6,1,368.6,1,2930.575,2883.0
HO2609,P,3300,149,223,0,446.8,-3.6,436.8,1,455.2,1,2930.575,2883.0
HO2609,P,3400,149,266,1,537.4,-3.6,525.6,1,548.2,1,2930.575,2883.0
HO2609,P,3500,149,297,2,632.2,-1.8,615.8,1,646.0,1,2930.575,2883.0
