ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2609,C,3900,151,77,9,754.2,29.2,730.8,1,771.0,1,4757.442,4620.2
IO2609,C,4000,151,841,12,654.6,19.6,652.0,5,672.0,1,4757.442,4620.2
IO2609,C,4100,151,160,0,546.0,0.0,553.4,1,593.6,1,4757.442,4620.2
IO2609,C,4200,151,622,9,491.6,17.4,479.8,1,499.8,1,4757.442,4620.2
IO2609,C,4300,151,358,50,405.0,21.2,402.0,1,421.6,1,4757.442,4620.2
IO2609,C,4400,151,704,80,340.2,18.2,330.2,10,349.6,1,4757.442,4620.2
IO2609,C,4500,151,1956,204,280.4,15.4,275.4,1,282.0,6,4757.442,4620.2
IO2609,C,4600,151,891,43,224.0,15.4,218.6,1,230.0,2,4757.442,4620.2
IO2609,C,4700,151,1177,84,180.0,11.0,176.6,1,186.6,1,4757.442,4620.2
IO2609,C,4800,151,1059,153,146.2,9.6,143.2,1,146.2,1,4757.442,4620.2
IO2609,C,4900,151,968,53,118.6,8.8,116.8,1,122.0,2,4757.442,4620.2
IO2609,C,5000,151,1261,111,98.2,7.4,95.4,1,96.2,2,4757.442,4620.2
IO2609,C,5200,151,1294,223,69.2,3.4,68.0,1,71.6,2,4757.442,4620.2
IO2609,C,5400,151,3469,371,52.2,2.2,52.4,1,53.0,2,4757.442,4620.2
IO2609,P,3900,151,339,28,32.0,-3.8,32.0,2,33.8,1,4757.442,4620.2
IO2609,P,4000,151,1669,91,40.6,-3.6,39.0,4,41.2,2,4757.442,4620.2
IO2609,P,4100,151,631,99,53.8,-4.0,51.2,1,53.4,1,4757.442,4620.2
IO2609,P,4200,151,400,29,67.6,-6.8,64.8,1,70.4,1,4757.442,4620.2
IO2609,P,4300,151,544,53,88.2,-8.8,85.4,1,91.6,2,4757.442,4620.2
IO2609,P,4400,151,794,68,116.4,-9.8,113.8,1,121.8,1,4757.442,4620.2
IO2609,P,4500,151,858,168,153.0,-12.4,152.0,1,158.4,1,4757.442,4620.2
IO2609,P,4600,151,458,78,198.8,-16.8,192.0,3,204.2,1,4757.442,4620.2
IO2609,P,4700,151,304,28,246.6,-23.6,250.0,2,259.4,1,4757.442,4620.2
IO2609,P,4800,151,405,21,317.2,-20.0,308.0,1,327.6,1,4757.442,4620.2
IO2609,P,4900,151,386,7,394.6,-17.0,379.6,1,399.4,1,4757.442,4620.2
IO2609,P,5000,151,584,10,466.6,-24.2,458.0,1,476.8,1,4757.442,4620.2
IO2609,P,5200,151,217,2,638.4,-24.4,617.6,1,657.2,1,4757.442,4620.2
IO2609,P,5400,151,422,0,840.0,-5.4,798.6,1,838.6,1,4757.442,4620.2
