合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,90,21853,596781,342235,254546,74.38,1112060,631032,481028,2026-08-27
510300,沪深300ETF华泰柏瑞,96,30860,460283,264021,196262,74.34,969794,508307,461487,2026-08-27
510500,中证500ETF南方,156,159656,1122416,631660,490756,77.69,1185886,543672,642214,2026-08-27
588000,科创50ETF华夏,160,112736,2133419,1165296,968123,83.08,2098175,975442,1122733,2026-08-27
588080,科创50ETF易方达,154,10721,230657,120160,110497,91.96,425625,207548,218077,2026-08-27
