ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
HO2612,C,2500,87,154,0,340.0,-16.4,368.8,1,383.2,1,2899.036,2867.0
HO2612,C,2550,87,6,0,299.8,-10.4,322.0,1,335.8,1,2899.036,2867.0
HO2612,C,2600,87,222,48,281.0,17.2,276.6,1,289.6,1,2899.036,2867.0
HO2612,C,2650,87,1,0,210.8,-9.8,232.4,1,244.0,1,2899.036,2867.0
HO2612,C,2700,87,548,24,199.0,18.2,190.8,1,202.4,1,2899.036,2867.0
HO2612,C,2750,87,1,1,160.0,16.0,152.2,1,163.0,1,2899.036,2867.0
HO2612,C,2800,87,906,83,121.2,9.0,118.0,1,128.4,1,2899.036,2867.0
HO2612,C,2850,87,10,5,94.8,11.2,90.0,1,96.8,1,2899.036,2867.0
HO2612,C,2900,87,1317,113,70.0,5.6,66.4,1,73.2,3,2899.036,2867.0
HO2612,C,2950,87,3,2,51.8,5.2,50.0,2,53.2,5,2899.036,2867.0
HO2612,C,3000,87,3911,374,38.0,3.2,37.4,4,39.0,1,2899.036,2867.0
HO2612,C,3050,87,29,13,27.0,1.2,26.6,2,29.6,1,2899.036,2867.0
HO2612,C,3100,87,1747,67,20.8,1.8,20.4,2,21.4,1,2899.036,2867.0
HO2612,C,3150,87,31,6,16.0,1.2,15.8,5,17.2,3,2899.036,2867.0
HO2612,C,3200,87,1227,28,12.6,1.0,12.4,1,13.0,1,2899.036,2867.0
HO2612,C,3300,87,824,54,9.6,2.0,8.2,1,8.6,1,2899.036,2867.0
HO2612,C,3400,87,463,9,6.6,1.0,6.0,3,6.2,1,2899.036,2867.0
HO2612,C,3500,87,1401,150,5.2,0.6,5.0,9,5.4,1,2899.036,2867.0
HO2612,P,2500,87,2784,94,7.0,-0.2,7.0,8,7.2,7,2899.036,2867.0
HO2612,P,2550,87,21,11,9.4,-0.8,9.4,1,9.6,3,2899.036,2867.0
HO2612,P,2600,87,1117,46,13.4,-1.2,13.0,1,13.6,3,2899.036,2867.0
HO2612,P,2650,87,23,10,18.4,-2.8,18.2,1,19.2,1,2899.036,2867.0
HO2612,P,2700,87,967,45,25.8,-5.4,24.8,1,26.8,1,2899.036,2867.0
HO2612,P,2750,87,16,5,35.8,-7.8,35.8,1,38.6,1,2899.036,2867.0
HO2612,P,2800,87,1236,47,51.4,-10.4,51.8,1,53.8,1,2899.036,2867.0
HO2612,P,2850,87,19,16,71.6,-12.4,69.4,5,76.4,2,2899.036,2867.0
HO2612,P,2900,87,868,80,98.0,-14.0,97.4,2,102.4,2,2899.036,2867.0
HO2612,P,2950,87,2,2,129.6,-16.0,126.0,1,135.8,1,2899.036,2867.0
HO2612,P,3000,87,600,13,158.4,-26.8,167.2,1,173.0,1,2899.036,2867.0
HO2612,P,3050,87,4,0,226.6,2.2,201.2,1,212.8,1,2899.036,2867.0
HO2612,P,3100,87,292,11,248.6,-19.2,248.8,2,255.6,1,2899.036,2867.0
HO2612,P,3150,87,3,0,320.4,8.2,287.8,1,300.8,1,2899.036,2867.0
HO2612,P,3200,87,213,0,373.4,14.0,334.2,1,347.8,1,2899.036,2867.0
HO2612,P,3300,87,262,0,464.0,1.8,428.2,1,443.2,1,2899.036,2867.0
HO2612,P,3400,87,204,0,561.8,1.6,525.2,1,541.2,1,2899.036,2867.0
HO2612,P,3500,87,264,0,660.2,0.8,622.8,1,639.8,1,2899.036,2867.0
