ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2608,C,6200,10,157,27,1522.4,34.8,1460.2,1,1505.8,1,7698.048,7684.4
MO2608,C,6300,10,126,35,1381.4,-7.2,1360.4,1,1405.0,1,7698.048,7684.4
MO2608,C,6400,10,275,98,1280.8,-8.0,1260.8,1,1306.6,1,7698.048,7684.4
MO2608,C,6500,10,271,117,1183.4,-6.0,1161.6,1,1206.6,1,7698.048,7684.4
MO2608,C,6600,10,347,198,1086.6,2.2,1062.4,1,1108.8,1,7698.048,7684.4
MO2608,C,6700,10,524,147,983.8,-1.8,976.6,1,1000.0,1,7698.048,7684.4
MO2608,C,6800,10,763,157,889.0,-2.4,876.8,1,900.0,1,7698.048,7684.4
MO2608,C,6900,10,1127,265,791.0,-4.0,777.4,1,800.6,1,7698.048,7684.4
MO2608,C,7000,10,1948,682,690.2,-9.8,681.2,1,692.8,4,7698.048,7684.4
MO2608,C,7100,10,1951,573,595.8,-6.8,596.0,1,596.4,1,7698.048,7684.4
MO2608,C,7200,10,3693,2211,502.4,-9.4,500.0,2,502.6,1,7698.048,7684.4
MO2608,C,7300,10,2979,3269,416.0,-7.8,416.0,1,417.8,1,7698.048,7684.4
MO2608,C,7400,10,3445,4273,330.0,-11.8,327.0,1,330.0,3,7698.048,7684.4
MO2608,C,7500,10,9234,9842,255.8,-11.2,255.8,22,256.0,1,7698.048,7684.4
MO2608,C,7600,10,6026,13295,186.4,-16.2,185.8,2,186.4,7,7698.048,7684.4
MO2608,C,7700,10,8567,25142,133.0,-14.4,132.6,1,133.0,2,7698.048,7684.4
MO2608,C,7800,10,9639,27756,87.8,-16.2,87.8,9,88.0,27,7698.048,7684.4
MO2608,C,7900,10,6279,13627,56.6,-15.2,56.2,1,56.6,9,7698.048,7684.4
MO2608,C,8000,10,13058,21454,35.0,-12.0,34.6,2,35.0,5,7698.048,7684.4
MO2608,C,8100,10,7586,6982,20.6,-10.0,20.6,4,20.8,3,7698.048,7684.4
