合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,94,19958,494529,303356,191173,63.02,1424453,872646,551807,2026-08-11
510300,沪深300ETF华泰柏瑞,104,35212,515050,280628,234422,83.53,1180835,675599,505236,2026-08-11
510500,中证500ETF南方,188,196248,1395622,804869,590753,73.4,1541068,758123,782945,2026-08-11
588000,科创50ETF华夏,188,103992,2026081,937138,1088943,116.2,2820985,1467546,1353439,2026-08-11
588080,科创50ETF易方达,180,10369,219302,97439,121863,125.07,587826,304246,283580,2026-08-11
