日期,合约交易代码,当前价,涨跌幅,前结价,行权价,数量
20260306162909,588000C2604M01350,0.153,2.82,0.1488,1.35,22
20260306162909,588000C2604M01400,0.1126,2.55,0.1098,1.4,22
20260306162909,588000C2604M01450,0.0794,7.44,0.0739,1.45,22
20260306162909,588000C2604M01500,0.0499,5.27,0.0474,1.5,22
20260306162909,588000C2604M01550,0.03,4.17,0.0288,1.55,22
20260306162909,588000C2604M01600,0.017,0.0,0.017,1.6,22
20260306162909,588000C2604M01650,0.0093,-7.0,0.01,1.65,22
20260306162909,588000C2604M01700,0.0054,-5.26,0.0057,1.7,22
20260306162909,588000C2604M01750,0.0033,-10.81,0.0037,1.75,22
20260306162909,588000P2604M01350,0.013,-24.42,0.0172,1.35,22
20260306162909,588000P2604M01400,0.0227,-16.54,0.0272,1.4,22
20260306162909,588000P2604M01450,0.038,-12.84,0.0436,1.45,22
20260306162909,588000P2604M01500,0.0593,-12.28,0.0676,1.5,22
20260306162909,588000P2604M01550,0.0904,-7.09,0.0973,1.55,22
20260306162909,588000P2604M01600,0.1276,-5.62,0.1352,1.6,22
20260306162909,588000P2604M01650,0.1707,-4.05,0.1779,1.65,22
20260306162909,588000P2604M01700,0.2135,-6.65,0.2287,1.7,22
20260306162909,588000P2604M01750,0.2639,-3.12,0.2724,1.75,22
20260306162909,588000C2604M01250,0.2453,3.98,0.2359,1.25,22
20260306162909,588000C2604M01300,0.1976,3.56,0.1908,1.3,22
20260306162909,588000P2604M01250,0.0045,-29.69,0.0064,1.25,22
20260306162909,588000P2604M01300,0.0078,-22.77,0.0101,1.3,22
