instrument,ticker,type,strike,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
IO2603-P-4500,IO2603,P,4500,4757,2828,13.0,-6.8,12.8,12,13.0,5,4660.439
IO2603-P-4550,IO2603,P,4550,2558,2701,19.6,-9.0,19.4,2,19.8,9,4660.439
IO2603-P-4600,IO2603,P,4600,6675,6285,29.0,-12.6,29.0,5,30.0,5,4660.439
IO2603-P-4650,IO2603,P,4650,4413,5474,47.4,-14.4,47.2,1,47.4,4,4660.439
IO2603-P-4700,IO2603,P,4700,8378,4861,73.8,-19.8,73.6,1,73.8,6,4660.439
IO2603-P-4750,IO2603,P,4750,3243,714,113.0,-18.8,113.0,19,116.0,1,4660.439
IO2603-P-4800,IO2603,P,4800,1598,277,156.6,-37.4,155.6,1,160.0,1,4660.439
IO2603-P-4850,IO2603,P,4850,518,255,202.8,-36.0,203.0,1,207.2,1,4660.439
IO2603-P-4900,IO2603,P,4900,608,159,252.0,-33.8,251.8,1,255.8,1,4660.439
IO2603-P-4950,IO2603,P,4950,195,114,298.2,-35.8,297.8,1,307.6,1,4660.439
IO2603-P-5000,IO2603,P,5000,563,92,352.6,-30.4,350.6,1,358.0,2,4660.439
IO2603-P-5100,IO2603,P,5100,146,43,445.2,-36.8,447.2,1,457.6,1,4660.439
IO2603-P-5200,IO2603,P,5200,229,50,552.4,-29.4,544.4,1,558.2,1,4660.439
IO2603-P-5300,IO2603,P,5300,116,36,661.6,-20.0,643.4,1,658.4,1,4660.439
IO2603-P-5400,IO2603,P,5400,109,25,756.8,-24.8,743.0,1,759.2,1,4660.439
