instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
HO2606-C-2400,61,3,595.4,15.2,578.2,1,596.4,1,2992.702
HO2606-C-2450,42,1,546.4,14.8,529.8,1,547.2,1,2992.702
HO2606-C-2500,89,3,493.6,10.0,482.2,1,499.4,1,2992.702
HO2606-C-2600,64,8,395.2,5.2,388.2,1,404.4,1,2992.702
HO2606-C-2700,74,0,299.8,0.0,299.0,1,314.0,1,2992.702
HO2606-C-2800,195,0,248.2,27.2,218.4,1,231.2,1,2992.702
HO2606-C-2900,529,48,160.4,4.0,156.0,1,163.4,1,2992.702
HO2606-C-3000,1430,75,107.6,6.0,107.6,2,108.8,1,2992.702
HO2606-C-3100,1199,48,67.4,-3.0,67.6,1,71.8,1,2992.702
HO2606-C-3200,538,11,43.0,-2.8,42.8,2,45.8,2,2992.702
HO2606-C-3300,1485,40,32.0,2.2,29.0,1,29.6,2,2992.702
HO2606-C-3400,974,21,21.2,1.4,18.8,2,20.2,4,2992.702
HO2606-C-3500,1358,127,14.2,0.0,13.4,1,13.6,1,2992.702
HO2606-P-2400,641,23,4.2,0.2,4.2,1,4.6,1,2992.702
HO2606-P-2450,108,9,5.0,0.6,5.0,1,5.4,1,2992.702
HO2606-P-2500,298,3,7.0,1.0,6.4,1,7.0,7,2992.702
HO2606-P-2600,253,22,12.0,1.0,11.6,1,11.8,1,2992.702
HO2606-P-2700,300,0,22.6,0.8,20.0,2,20.8,1,2992.702
HO2606-P-2800,329,2,39.2,-2.4,37.0,1,39.4,1,2992.702
HO2606-P-2900,521,25,69.2,-5.6,67.6,1,73.0,1,2992.702
HO2606-P-3000,726,30,115.0,-10.6,114.6,2,122.8,1,2992.702
HO2606-P-3100,467,56,182.0,-5.2,174.2,1,186.4,2,2992.702
HO2606-P-3200,335,8,257.4,-5.8,250.2,1,262.6,1,2992.702
HO2606-P-3300,295,1,344.6,-2.4,333.4,1,348.8,1,2992.702
HO2606-P-3400,125,2,441.0,5.4,421.8,1,438.2,1,2992.702
HO2606-P-3500,98,12,526.0,-3.2,514.8,1,532.4,1,2992.702
