ticker,type,strike,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
MO2604,C,7100,139,61,1109.0,99.2,1091.0,1,1118.0,2,8248.856
MO2604,C,7200,55,28,1015.8,80.2,1000.0,2,1023.0,1,8248.856
MO2604,C,7300,52,18,925.0,122.8,895.6,1,925.6,1,8248.856
MO2604,C,7400,97,4,815.0,69.8,806.0,1,836.0,1,8248.856
MO2604,C,7500,79,13,752.0,77.8,718.6,1,748.6,1,8248.856
MO2604,C,7600,116,54,651.6,58.4,653.2,1,664.4,1,8248.856
MO2604,C,7700,183,37,570.8,62.8,560.0,1,582.6,1,8248.856
MO2604,C,7800,283,63,493.2,51.6,482.8,1,497.8,1,8248.856
MO2604,C,7900,371,104,416.0,41.2,419.4,1,425.0,1,8248.856
MO2604,C,8000,912,503,350.0,32.0,350.8,1,357.2,1,8248.856
MO2604,C,8100,648,539,288.2,23.6,288.2,1,295.2,1,8248.856
MO2604,C,8200,1273,987,235.8,26.4,235.8,3,236.0,5,8248.856
MO2604,C,8300,1122,836,185.0,20.2,185.0,9,187.6,1,8248.856
MO2604,C,8400,1576,1102,142.8,9.8,142.2,1,142.8,4,8248.856
MO2604,C,8500,1594,1178,110.8,7.4,109.0,1,111.0,1,8248.856
MO2604,C,8600,1663,870,84.0,5.2,83.0,2,85.2,1,8248.856
MO2604,C,8700,1276,482,62.2,2.2,60.2,1,62.4,2,8248.856
MO2604,C,8800,1343,682,48.2,1.4,46.6,1,47.0,2,8248.856
MO2604,C,8900,1171,472,37.8,1.0,35.2,2,38.0,1,8248.856
MO2604,C,9000,1481,586,27.4,1.4,27.4,5,29.0,2,8248.856
MO2604,C,9100,756,287,22.8,1.8,22.4,2,22.8,1,8248.856
MO2604,C,9200,682,237,17.6,1.6,17.2,3,17.8,1,8248.856
MO2604,C,9300,351,67,14.2,1.4,13.6,1,14.4,1,8248.856
MO2604,C,9400,1597,407,12.2,1.2,12.2,1,12.4,1,8248.856
MO2604,C,9500,525,611,9.8,1.0,9.6,1,10.0,6,8248.856
MO2604,P,7100,1330,821,32.2,-4.6,31.6,1,34.0,1,8248.856
MO2604,P,7200,992,494,39.6,-4.8,39.2,1,39.4,1,8248.856
MO2604,P,7300,1110,492,47.2,-8.2,46.6,1,48.4,1,8248.856
MO2604,P,7400,1301,574,59.0,-8.8,56.2,1,57.8,1,8248.856
MO2604,P,7500,1325,543,71.2,-11.8,68.8,1,71.2,1,8248.856
MO2604,P,7600,2213,747,89.6,-13.2,85.4,4,89.8,1,8248.856
MO2604,P,7700,997,714,107.2,-18.6,107.2,16,109.0,1,8248.856
MO2604,P,7800,1265,929,128.0,-24.6,126.8,2,130.8,1,8248.856
MO2604,P,7900,1441,737,152.2,-32.8,149.6,1,152.2,2,8248.856
MO2604,P,8000,1395,868,184.2,-38.6,181.6,1,185.8,1,8248.856
MO2604,P,8100,931,899,222.8,-42.2,219.2,1,222.8,4,8248.856
MO2604,P,8200,872,723,267.6,-41.2,260.2,1,267.8,1,8248.856
MO2604,P,8300,972,471,316.0,-59.8,311.2,1,319.4,20,8248.856
MO2604,P,8400,836,241,377.0,-56.0,379.6,1,385.4,1,8248.856
MO2604,P,8500,483,142,438.0,-71.2,437.0,1,452.0,1,8248.856
MO2604,P,8600,171,71,522.0,-78.0,508.4,1,527.6,2,8248.856
MO2604,P,8700,110,26,595.4,-70.6,582.4,1,612.4,1,8248.856
MO2604,P,8800,179,16,658.6,-106.4,666.6,1,696.6,1,8248.856
MO2604,P,8900,107,12,769.2,-85.8,754.8,1,784.8,1,8248.856
MO2604,P,9000,78,72,862.4,-113.0,847.0,1,877.0,1,8248.856
MO2604,P,9100,266,41,959.6,-109.8,940.6,1,970.6,1,8248.856
MO2604,P,9200,33,36,1050.0,-114.6,1027.8,1,1070.6,1,8248.856
MO2604,P,9300,19,20,1145.2,-115.8,1123.8,1,1176.8,1,8248.856
MO2604,P,9400,72,11,1215.8,-142.6,1221.8,1,1266.2,1,8248.856
MO2604,P,9500,42,26,1313.8,-142.4,1317.0,1,1364.6,1,8248.856
