ticker,type,strike,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
IO2606,C,3400,172,1,1208.8,28.6,1181.0,1,1212.2,1,4660.439
IO2606,C,3500,101,1,1109.0,26.8,1089.0,1,1114.0,1,4660.439
IO2606,C,3600,117,0,992.6,7.2,1000.0,1,1016.2,1,4660.439
IO2606,C,3700,93,4,896.6,8.0,899.2,1,918.4,1,4660.439
IO2606,C,3800,99,8,820.4,27.6,795.0,1,822.4,1,4660.439
IO2606,C,3900,142,2,720.2,20.4,701.6,1,728.2,1,4660.439
IO2606,C,4000,206,1,608.2,0.4,609.6,1,634.8,1,4660.439
IO2606,C,4100,121,5,512.8,-3.4,519.4,1,541.2,1,4660.439
IO2606,C,4200,177,16,450.0,19.4,435.0,1,454.4,1,4660.439
IO2606,C,4300,266,17,365.4,16.8,358.0,1,372.2,1,4660.439
IO2606,C,4400,346,4,290.2,15.4,276.6,2,296.8,1,4660.439
IO2606,C,4500,1450,153,225.0,14.4,215.4,1,227.2,2,4660.439
IO2606,C,4600,2149,108,167.0,9.4,160.8,1,173.0,1,4660.439
IO2606,C,4700,3721,180,124.6,7.8,121.2,1,129.6,1,4660.439
IO2606,C,4800,2896,474,94.6,7.8,90.2,1,94.8,1,4660.439
IO2606,C,4900,1969,131,69.0,4.8,66.6,1,70.2,1,4660.439
IO2606,C,5000,3373,309,53.2,2.8,52.2,3,55.2,1,4660.439
IO2606,C,5200,4008,499,35.6,2.8,35.6,1,35.8,1,4660.439
IO2606,C,5400,6341,255,23.8,1.4,22.8,1,24.6,1,4660.439
IO2606,P,3400,1208,23,7.0,-0.8,6.8,1,7.0,9,4660.439
IO2606,P,3500,387,25,8.2,-1.0,7.6,11,8.2,1,4660.439
IO2606,P,3600,482,15,10.0,-1.6,9.6,2,10.2,12,4660.439
IO2606,P,3700,398,32,13.2,-1.0,12.4,1,13.2,8,4660.439
IO2606,P,3800,990,6,16.2,-1.8,15.2,1,16.4,9,4660.439
IO2606,P,3900,487,19,20.4,-2.8,20.8,1,21.0,1,4660.439
IO2606,P,4000,975,92,27.0,-3.2,27.4,1,27.8,1,4660.439
IO2606,P,4100,579,119,36.0,-4.0,35.6,1,36.6,1,4660.439
IO2606,P,4200,1021,132,48.2,-5.8,47.6,1,49.6,1,4660.439
IO2606,P,4300,640,129,64.6,-5.4,62.6,1,64.4,2,4660.439
IO2606,P,4400,823,37,88.8,-7.6,87.8,1,92.4,1,4660.439
IO2606,P,4500,1336,171,122.0,-6.0,118.4,1,122.8,2,4660.439
IO2606,P,4600,1460,91,166.8,-7.2,162.0,1,167.6,2,4660.439
IO2606,P,4700,1728,46,226.0,-10.2,219.4,1,230.8,1,4660.439
IO2606,P,4800,1041,103,289.0,-17.0,283.8,1,302.6,1,4660.439
IO2606,P,4900,1057,87,367.4,-15.6,359.6,2,378.0,1,4660.439
IO2606,P,5000,773,4,443.0,-27.8,450.0,1,461.6,1,4660.439
IO2606,P,5200,364,15,633.2,-16.2,621.2,1,646.4,1,4660.439
IO2606,P,5400,156,9,822.0,-41.6,807.4,1,834.8,1,4660.439
