合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,30743,16580,14163,76.05,57523,32674,24849,2026-04-03
159915,创业板ETF易方达,1231985,580437,651548,91.44,1205407,629668,575739,2026-04-03
159919,沪深300ETF嘉实,107080,58944,48136,46.3,203010,138759,64251,2026-04-03
159922,中证500ETF嘉实,241833,129823,112010,60.11,321185,200608,120577,2026-04-03
