合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,122,24476,704659,404779,299880,74.08,1368970,798729,570241,2026-04-03
510300,沪深300ETF华泰柏瑞,120,45069,857833,422191,435642,103.19,1255616,753309,502307,2026-04-03
510500,中证500ETF南方,132,188642,1455237,642087,813150,126.64,1340660,710349,630311,2026-04-03
588000,科创50ETF华夏,114,24731,746767,384875,361892,94.03,1813047,1074699,738348,2026-04-03
588080,科创50ETF易方达,106,3439,117874,65345,52529,80.39,426729,259916,166813,2026-04-03
