ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2609,C,10000,56,3169,792,6.2,-0.6,6.2,3,6.4,4,6995.693,6880.2
MO2609,C,6200,56,749,136,808.0,-136.0,782.8,1,809.8,1,6995.693,6880.2
MO2609,C,6300,56,32,30,721.4,-137.6,706.0,3,730.6,1,6995.693,6880.2
MO2609,C,6400,56,260,50,650.0,-135.4,640.0,1,656.2,1,6995.693,6880.2
MO2609,C,6500,56,70,32,587.0,-112.2,562.2,30,584.6,1,6995.693,6880.2
MO2609,C,6600,56,606,189,506.8,-118.4,500.0,2,511.8,1,6995.693,6880.2
MO2609,C,6700,56,136,129,450.2,-101.2,435.6,1,448.4,1,6995.693,6880.2
MO2609,C,6800,56,982,494,389.0,-99.4,380.0,1,386.4,1,6995.693,6880.2
MO2609,C,6900,56,347,492,339.0,-92.4,333.8,1,340.0,1,6995.693,6880.2
MO2609,C,7000,56,2495,1836,288.2,-87.0,287.6,1,288.4,1,6995.693,6880.2
MO2609,C,7100,56,658,770,245.4,-75.0,245.0,1,246.0,2,6995.693,6880.2
MO2609,C,7200,56,2295,1674,208.4,-70.2,208.0,1,209.4,1,6995.693,6880.2
MO2609,C,7300,56,974,947,175.0,-59.0,169.8,1,175.0,6,6995.693,6880.2
MO2609,C,7400,56,2697,1380,148.2,-50.8,148.2,1,149.4,1,6995.693,6880.2
MO2609,C,7500,56,1630,1269,123.2,-44.2,121.0,1,123.4,1,6995.693,6880.2
MO2609,C,7600,56,3290,2253,102.0,-39.8,102.0,4,104.2,1,6995.693,6880.2
MO2609,C,7700,56,880,1137,86.0,-30.8,86.0,3,87.0,1,6995.693,6880.2
MO2609,C,7800,56,2665,1119,70.6,-25.4,70.0,9,73.0,2,6995.693,6880.2
MO2609,C,7900,56,839,666,59.6,-23.4,58.8,1,61.2,1,6995.693,6880.2
MO2609,C,8000,56,9434,3475,51.4,-18.8,51.4,1,51.6,1,6995.693,6880.2
MO2609,C,8100,56,852,411,41.4,-15.2,42.0,20,42.4,1,6995.693,6880.2
MO2609,C,8200,56,2998,618,35.6,-12.4,35.2,1,35.4,14,6995.693,6880.2
MO2609,C,8300,56,755,362,31.4,-7.8,28.6,3,30.6,1,6995.693,6880.2
MO2609,C,8400,56,4849,643,25.8,-6.6,25.8,1,26.0,1,6995.693,6880.2
MO2609,C,8500,56,2123,477,22.8,-5.6,22.2,1,22.6,2,6995.693,6880.2
MO2609,C,8600,56,5597,1011,20.0,-5.2,20.0,7,20.2,3,6995.693,6880.2
MO2609,C,8700,56,1036,289,16.6,-4.4,15.6,4,16.8,1,6995.693,6880.2
MO2609,C,8800,56,3637,497,14.6,-3.8,13.8,2,14.8,1,6995.693,6880.2
MO2609,C,8900,56,827,211,13.0,-3.0,12.8,2,13.6,3,6995.693,6880.2
MO2609,C,9000,56,4507,579,12.6,-2.8,12.4,2,12.6,2,6995.693,6880.2
MO2609,C,9100,56,539,636,10.2,-2.6,10.0,6,10.4,1,6995.693,6880.2
MO2609,C,9200,56,1780,1176,9.4,-1.8,9.2,2,9.6,2,6995.693,6880.2
MO2609,C,9300,56,659,702,8.4,-1.6,8.0,7,8.6,3,6995.693,6880.2
MO2609,C,9400,56,1614,734,7.6,-1.6,7.6,7,8.0,1,6995.693,6880.2
MO2609,C,9500,56,659,573,7.0,-1.4,7.0,2,7.4,2,6995.693,6880.2
MO2609,C,9600,56,2247,805,7.4,-1.0,7.4,5,7.6,3,6995.693,6880.2
MO2609,C,9700,56,635,541,6.4,-0.8,6.4,4,6.6,6,6995.693,6880.2
MO2609,C,9800,56,1226,494,6.4,-0.6,6.4,4,6.6,8,6995.693,6880.2
MO2609,P,10000,56,766,10,3099.6,168.2,3050.8,1,3146.6,1,6995.693,6880.2
MO2609,P,6200,56,4853,2499,106.8,40.8,106.6,2,107.0,1,6995.693,6880.2
MO2609,P,6300,56,645,642,127.4,45.6,125.0,1,132.8,1,6995.693,6880.2
MO2609,P,6400,56,1714,1116,151.0,51.8,149.6,1,151.0,1,6995.693,6880.2
MO2609,P,6500,56,409,574,178.6,56.4,178.2,1,185.2,1,6995.693,6880.2
MO2609,P,6600,56,1788,1532,211.2,65.4,208.4,3,211.2,17,6995.693,6880.2
MO2609,P,6700,56,592,955,250.0,76.0,250.0,3,254.2,1,6995.693,6880.2
MO2609,P,6800,56,2308,1690,291.0,82.0,296.0,2,300.4,1,6995.693,6880.2
MO2609,P,6900,56,477,1350,339.2,92.6,337.0,1,346.4,1,6995.693,6880.2
MO2609,P,7000,56,2760,1924,395.0,105.6,395.0,1,398.2,1,6995.693,6880.2
MO2609,P,7100,56,539,925,456.2,118.8,445.0,1,457.2,1,6995.693,6880.2
MO2609,P,7200,56,2930,1029,510.4,117.4,510.8,1,518.0,1,6995.693,6880.2
MO2609,P,7300,56,519,646,573.8,119.4,567.6,1,595.4,1,6995.693,6880.2
MO2609,P,7400,56,2835,675,645.2,131.2,652.4,1,666.2,1,6995.693,6880.2
MO2609,P,7500,56,421,316,704.2,120.0,715.4,1,742.6,1,6995.693,6880.2
MO2609,P,7600,56,2317,354,803.0,145.8,794.8,1,821.2,1,6995.693,6880.2
