合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,144714,83762,60952,130.01,98678,42902,55776,2026-03-24
159915,创业板ETF易方达,2692688,1223217,1469471,103.8,1435913,704559,731354,2026-03-24
159919,沪深300ETF嘉实,280325,121419,158906,60.76,256450,159526,96924,2026-03-24
159922,中证500ETF嘉实,488669,242584,246085,65.92,473049,285108,187941,2026-03-24
