交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,白银2701,ag2701,20525.0,24630.0,16420.0,22.0,22.0,67732.5,1e-05,0.1/万分之 (3.1元),1e-05,0.1/万分之 (3.1元),1e-05,0.1/万分之 (3.1元),15,6.2,8.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,白银2702,ag2702,20505.0,24606.0,16404.0,22.0,22.0,67666.5,1e-05,0.1/万分之 (3.1元),1e-05,0.1/万分之 (3.1元),1e-05,0.1/万分之 (3.1元),15,6.2,8.8,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2604,au2604,1125.12,1316.38,933.84,19.0,19.0,213772.8,,19.99,,19.99,,0,20,20.0,0.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2606,au2606,1127.08,1318.68,935.46,19.0,19.0,214145.2,,19.99,,19.99,,0,20,20.0,0.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2608,au2608,1130.98,1323.24,938.7,19.0,19.0,214886.2,,10,,10,,0,20,10.0,10.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2610,au2610,1130.36,1322.52,938.18,19.0,19.0,214768.4,,10,,10,,0,20,10.0,10.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2612,au2612,1133.86,1326.6,941.1,19.0,19.0,215433.4,,19.99,,19.99,,0,20,20.0,0.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2603,au2603,1137.0,1330.28,943.7,20.0,20.0,227400.0,,19.99,,19.99,,0,20,20.0,0.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2702,au2702,1137.7,1331.1,944.28,19.0,19.0,216163.0,,10,,10,,0,20,10.0,10.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,黄金2605,au2605,1126.4,1317.88,934.9,19.0,19.0,214016.0,,19.99,,19.99,,0,20,20.0,0.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2603,sn2603,384040.0,430120.0,337950.0,20.0,20.0,76808.0,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2604,sn2604,372770.0,417500.0,328030.0,14.0,14.0,52187.8,,3,,3,,3,10,6.0,4.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2605,sn2605,372700.0,417420.0,327970.0,14.0,14.0,52178.0,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2606,sn2606,372660.0,417370.0,327940.0,14.0,14.0,52172.4,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2607,sn2607,373640.0,418470.0,328800.0,14.0,14.0,52309.6,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2608,sn2608,373680.0,418520.0,328830.0,14.0,14.0,52315.2,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2609,sn2609,374400.0,419320.0,329470.0,14.0,14.0,52416.0,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2610,sn2610,374160.0,419050.0,329260.0,14.0,14.0,52382.4,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2611,sn2611,374820.0,419790.0,329840.0,14.0,14.0,52474.8,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2612,sn2612,375980.0,421090.0,330860.0,14.0,14.0,52637.2,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
上海期货交易所,沪锡2701,sn2701,375270.0,420300.0,330230.0,14.0,14.0,52537.8,,3,,3,,3,10,6.0,4.0,,2026-03-16 22:35:16.562,2026-03-16 22:35:25.654
