交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
中国金融期货交易所,2年期国债2606,TS2606,102.47,102.982,101.958,0.5,0.5,10247.0,,3,,3,,0,40,3.0,37.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,2年期国债2609,TS2609,102.49,103.002,101.978,0.5,0.5,10249.0,,3,,3,,0,40,3.0,37.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,2年期国债2612,TS2612,102.49,103.514,101.466,0.5,0.5,10249.0,,3,,3,,0,40,3.0,37.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,5年期国债2606,TF2606,105.965,107.235,104.695,1.2,1.2,12715.8,,3,,3,,0,50,3.0,47.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,5年期国债2609,TF2609,105.795,107.06,104.53,1.2,1.2,12695.4,,3,,3,,0,50,3.0,47.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,5年期国债2612,TF2612,105.795,108.33,103.26,1.2,1.2,12695.4,,3,,3,,0,50,3.0,47.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,10年国债2606,T2606,108.2349,110.395,106.075,2.0,2.0,21646.98,,3,,3,,0,50,3.0,47.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,10年国债2609,T2609,108.21,110.37,106.05,2.0,2.0,21642.0,,3,,3,,0,50,3.0,47.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,10年国债2612,T2612,108.21,112.535,103.885,2.0,2.0,21642.0,,3,,3,,0,50,3.0,47.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,30年期国债2606,TL2606,111.1099,114.99,107.23,3.5,3.5,38888.465,,3,,3,,0,100,3.0,97.0,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,30年期国债2609,TL2609,110.83,114.7,106.96,3.5,3.5,38790.5,,3,,3,,0,100,3.0,97.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,30年期国债2612,TL2612,110.83,118.58,103.08,3.5,3.5,38790.5,,3,,3,,0,100,3.0,97.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,沪深300指数2603,IF2603,4659.8,5125.6,4194.0,12.0,12.0,167752.8,2.3e-05,0.23/万分之 (32.2元),2.3e-05,0.23/万分之 (32.2元),0.00022999999999999998,2.3/万分之 (321.5元),60,353.7,-293.7,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,沪深300指数2606,IF2606,4587.4,5046.0,4128.8,12.0,12.0,165146.4,2.3e-05,0.23/万分之 (31.7元),2.3e-05,0.23/万分之 (31.7元),0.00022999999999999998,2.3/万分之 (316.5元),60,348.2,-288.2,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,沪深300指数2609,IF2609,4512.6,4963.8,4061.4,12.0,12.0,162453.6,2.3e-05,0.23/万分之 (31.1元),2.3e-05,0.23/万分之 (31.1元),0.00022999999999999998,2.3/万分之 (311.4元),60,342.5,-282.5,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,沪深300指数2604,IF2604,4641.2,5105.2,4177.2,12.0,12.0,167083.2,2.3e-05,0.23/万分之 (32元),2.3e-05,0.23/万分之 (32元),0.00022999999999999998,2.3/万分之 (320.2元),60,352.3,-292.3,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,中证500股指2603,IC2603,8229.8,9052.6,7407.0,12.0,12.0,197515.2,2.3e-05,0.23/万分之 (37.9元),2.3e-05,0.23/万分之 (37.9元),0.00022999999999999998,2.3/万分之 (378.6元),40,416.4,-376.4,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,中证500股指2606,IC2606,8048.4,8853.2,7243.6,12.0,12.0,193161.6,2.3e-05,0.23/万分之 (37元),2.3e-05,0.23/万分之 (37元),0.00022999999999999998,2.3/万分之 (370.2元),40,407.2,-367.2,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,中证500股指2609,IC2609,7882.0,8670.2,7093.8,12.0,12.0,189168.0,2.3e-05,0.23/万分之 (36.3元),2.3e-05,0.23/万分之 (36.3元),0.00022999999999999998,2.3/万分之 (362.6元),40,398.8,-358.8,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,中证500股指2604,IC2604,8182.6,9000.8,7364.4,12.0,12.0,196382.4,2.3e-05,0.23/万分之 (37.6元),2.3e-05,0.23/万分之 (37.6元),0.00022999999999999998,2.3/万分之 (376.4元),40,414.0,-374.0,,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
中国金融期货交易所,上证50指数2603,IH2603,2959.6,3255.4,2663.8,12.0,12.0,106545.6,2.3e-05,0.23/万分之 (20.4元),2.3e-05,0.23/万分之 (20.4元),0.00022999999999999998,2.3/万分之 (204.2元),60,224.6,-164.6,主力合约,2026-03-16 22:35:16.562,2026-03-16 22:39:31.468
