Bucket,Bucket_Range,Count,Probability (%)
-45,"[-4500, -4400)",1,0.02841716396703609
-42,"[-4200, -4100)",1,0.02841716396703609
-40,"[-4000, -3900)",3,0.08525149190110827
-39,"[-3900, -3800)",1,0.02841716396703609
-38,"[-3800, -3700)",1,0.02841716396703609
-37,"[-3700, -3600)",2,0.05683432793407218
-34,"[-3400, -3300)",1,0.02841716396703609
-32,"[-3200, -3100)",1,0.02841716396703609
-31,"[-3100, -3000)",1,0.02841716396703609
-28,"[-2800, -2700)",1,0.02841716396703609
-27,"[-2700, -2600)",1,0.02841716396703609
-26,"[-2600, -2500)",1,0.02841716396703609
-25,"[-2500, -2400)",2,0.05683432793407218
-24,"[-2400, -2300)",1,0.02841716396703609
-23,"[-2300, -2200)",2,0.05683432793407218
-22,"[-2200, -2100)",2,0.05683432793407218
-21,"[-2100, -2000)",2,0.05683432793407218
-20,"[-2000, -1900)",2,0.05683432793407218
-19,"[-1900, -1800)",5,0.14208581983518045
-18,"[-1800, -1700)",7,0.19892014776925265
-17,"[-1700, -1600)",4,0.11366865586814436
-16,"[-1600, -1500)",3,0.08525149190110827
-15,"[-1500, -1400)",6,0.17050298380221654
-14,"[-1400, -1300)",4,0.11366865586814436
-13,"[-1300, -1200)",3,0.08525149190110827
-12,"[-1200, -1100)",6,0.17050298380221654
-11,"[-1100, -1000)",1,0.02841716396703609
-10,"[-1000, -900)",6,0.17050298380221654
-9,"[-900, -800)",21,0.5967604433077579
-8,"[-800, -700)",33,0.937766410912191
-7,"[-700, -600)",50,1.4208581983518045
-6,"[-600, -500)",69,1.9607843137254901
-5,"[-500, -400)",117,3.324808184143223
-4,"[-400, -300)",199,5.655015629440182
-3,"[-300, -200)",301,8.553566354077862
-2,"[-200, -100)",388,11.025859619210003
-1,"[-100, 0)",410,11.651037226484796
0,"[0, 100)",433,12.304631997726627
1,"[100, 200)",445,12.64563796533106
2,"[200, 300)",338,9.6050014208582
3,"[300, 400)",188,5.342426825802785
4,"[400, 500)",151,4.290991759022449
5,"[500, 600)",73,2.0744529695936342
6,"[600, 700)",57,1.619778346121057
7,"[700, 800)",32,0.9093492469451548
8,"[800, 900)",27,0.7672634271099744
9,"[900, 1000)",19,0.5399261153736857
10,"[1000, 1100)",21,0.5967604433077579
11,"[1100, 1200)",16,0.4546746234725774
12,"[1200, 1300)",17,0.4830917874396135
13,"[1300, 1400)",5,0.14208581983518045
14,"[1400, 1500)",8,0.2273373117362887
15,"[1500, 1600)",6,0.17050298380221654
16,"[1600, 1700)",8,0.2273373117362887
17,"[1700, 1800)",2,0.05683432793407218
18,"[1800, 1900)",1,0.02841716396703609
19,"[1900, 2000)",1,0.02841716396703609
20,"[2000, 2100)",1,0.02841716396703609
21,"[2100, 2200)",1,0.02841716396703609
24,"[2400, 2500)",1,0.02841716396703609
25,"[2500, 2600)",2,0.05683432793407218
26,"[2600, 2700)",2,0.05683432793407218
27,"[2700, 2800)",2,0.05683432793407218
28,"[2800, 2900)",1,0.02841716396703609
30,"[3000, 3100)",1,0.02841716396703609
31,"[3100, 3200)",1,0.02841716396703609
