合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,36660,26978,9682,76.61,48120,27247,20873,2026-07-27
159915,创业板ETF易方达,1557254,835296,721958,93.45,1499538,775142,724396,2026-07-27
159919,沪深300ETF嘉实,134883,75831,59052,55.92,201388,129164,72224,2026-07-27
159922,中证500ETF嘉实,232355,132405,99950,50.85,314548,208514,106034,2026-07-27
