ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2612,C,10000,144,1885,284,31.8,5.4,32.0,1,32.2,1,7228.785,6951.0
MO2612,C,6200,144,123,32,957.0,164.0,939.4,2,979.4,1,7228.785,6951.0
MO2612,C,6400,144,1037,50,824.0,163.4,795.6,1,833.8,1,7228.785,6951.0
MO2612,C,6600,144,364,69,683.8,143.8,663.2,1,690.0,1,7228.785,6951.0
MO2612,C,6800,144,980,211,566.0,118.2,545.8,1,585.8,1,7228.785,6951.0
MO2612,C,7000,144,1278,365,466.8,103.4,463.2,7,467.2,1,7228.785,6951.0
MO2612,C,7200,144,1236,365,381.6,87.6,379.8,2,387.2,1,7228.785,6951.0
MO2612,C,7400,144,1220,296,308.2,71.6,308.0,10,315.0,1,7228.785,6951.0
MO2612,C,7600,144,1937,299,246.8,57.6,240.6,2,251.2,1,7228.785,6951.0
MO2612,C,7800,144,1634,241,201.4,50.6,200.0,1,204.6,1,7228.785,6951.0
MO2612,C,8000,144,2979,648,164.0,37.2,156.4,1,168.4,1,7228.785,6951.0
MO2612,C,8200,144,2150,340,131.6,31.4,125.4,1,136.8,1,7228.785,6951.0
MO2612,C,8400,144,1581,238,107.4,24.4,105.6,1,110.2,1,7228.785,6951.0
MO2612,C,8600,144,2897,290,91.8,19.4,90.0,1,93.2,1,7228.785,6951.0
MO2612,C,8800,144,1985,204,75.2,15.2,75.8,1,77.4,2,7228.785,6951.0
MO2612,C,9000,144,1756,262,62.8,12.8,61.6,1,65.2,2,7228.785,6951.0
MO2612,C,9200,144,1238,180,54.2,10.6,53.8,1,54.6,1,7228.785,6951.0
MO2612,C,9400,144,909,161,45.4,8.4,45.6,1,47.0,1,7228.785,6951.0
MO2612,C,9600,144,1338,205,41.2,8.4,39.8,1,41.8,1,7228.785,6951.0
MO2612,C,9800,144,1008,302,36.4,7.8,35.4,1,36.4,1,7228.785,6951.0
MO2612,P,10000,144,352,6,3112.8,-191.6,2956.0,1,3092.0,1,7228.785,6951.0
MO2612,P,6200,144,716,489,186.2,-74.4,184.4,2,184.6,1,7228.785,6951.0
MO2612,P,6400,144,2807,430,240.2,-90.8,240.8,1,246.0,1,7228.785,6951.0
MO2612,P,6600,144,1511,235,309.6,-107.2,309.0,2,317.6,2,7228.785,6951.0
MO2612,P,6800,144,1413,169,385.6,-130.2,378.4,1,398.2,1,7228.785,6951.0
MO2612,P,7000,144,1549,193,483.0,-149.4,474.0,2,493.2,1,7228.785,6951.0
MO2612,P,7200,144,1397,232,593.4,-162.8,575.8,1,615.8,1,7228.785,6951.0
MO2612,P,7400,144,1500,148,718.2,-186.0,701.8,1,741.8,1,7228.785,6951.0
MO2612,P,7600,144,1402,60,864.0,-191.2,841.6,1,881.6,1,7228.785,6951.0
MO2612,P,7800,144,1394,76,1015.8,-199.4,1000.0,2,1032.2,1,7228.785,6951.0
MO2612,P,8000,144,1245,17,1201.0,-185.4,1129.8,1,1208.6,1,7228.785,6951.0
MO2612,P,8200,144,1119,44,1395.0,-168.4,1297.8,2,1376.8,1,7228.785,6951.0
MO2612,P,8400,144,522,11,1597.4,-138.0,1473.8,1,1552.0,1,7228.785,6951.0
MO2612,P,8600,144,1137,6,1700.2,-230.8,1656.8,1,1736.8,1,7228.785,6951.0
MO2612,P,8800,144,897,61,1943.8,-173.4,1839.8,2,1919.8,1,7228.785,6951.0
MO2612,P,9000,144,1026,73,2066.0,-266.8,2026.2,1,2101.4,1,7228.785,6951.0
MO2612,P,9200,144,711,56,2394.6,-122.4,2193.8,1,2317.4,1,7228.785,6951.0
MO2612,P,9400,144,249,3,2535.4,-151.8,2381.0,1,2508.2,1,7228.785,6951.0
MO2612,P,9600,144,640,12,2640.0,-241.8,2572.8,1,2702.8,1,7228.785,6951.0
MO2612,P,9800,144,200,4,2918.6,-189.6,2763.4,1,2896.6,1,7228.785,6951.0
