合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,120,53515,1369297,782355,586942,75.02,1597514,1000674,596840,2026-05-21
510300,沪深300ETF华泰柏瑞,136,107783,1965344,1050017,915327,87.17,1317074,735689,581385,2026-05-21
510500,中证500ETF南方,144,317398,2751543,1422924,1328619,93.37,1520523,778023,742500,2026-05-21
588000,科创50ETF华夏,168,251692,4883786,2463069,2420717,98.28,2601655,1094466,1507189,2026-05-21
588080,科创50ETF易方达,154,41951,880991,446095,434896,97.49,562091,237786,324305,2026-05-21
