合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
510050,上证50ETF华夏,114,47425,1070737,634501,436236,68.75,1501095,926678,574417,2026-05-29
510300,沪深300ETF华泰柏瑞,124,83013,1241306,689618,551688,80.0,1097370,619776,477594,2026-05-29
510500,中证500ETF南方,134,268334,1758550,753711,1004839,133.32,1281942,619072,662870,2026-05-29
588000,科创50ETF华夏,150,206827,3016730,1286635,1730095,134.47,2165889,1002233,1163656,2026-05-29
588080,科创50ETF易方达,146,31147,494298,202903,291395,143.61,464796,217399,247397,2026-05-29
