ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2612,C,3900,205,201,2,912.8,28.6,829.6,1,864.4,1,4908.171,4706.0
IO2612,C,4000,205,124,3,760.0,-36.8,743.2,1,778.0,1,4908.171,4706.0
IO2612,C,4100,205,248,31,712.6,-0.4,660.0,1,696.0,1,4908.171,4706.0
IO2612,C,4200,205,173,70,602.2,-43.4,580.6,1,617.6,1,4908.171,4706.0
IO2612,C,4300,205,242,16,525.6,-30.2,517.4,1,533.8,2,4908.171,4706.0
IO2612,C,4400,205,363,66,484.8,7.2,447.8,1,463.6,1,4908.171,4706.0
IO2612,C,4500,205,731,32,395.6,-21.4,389.8,1,402.2,1,4908.171,4706.0
IO2612,C,4600,205,544,118,335.4,-26.0,328.8,1,345.6,1,4908.171,4706.0
IO2612,C,4700,205,611,120,294.0,-12.0,286.0,1,287.2,1,4908.171,4706.0
IO2612,C,4800,205,442,20,249.0,-13.6,239.6,2,250.8,2,4908.171,4706.0
IO2612,C,4900,205,254,19,215.6,-7.0,202.4,2,213.8,1,4908.171,4706.0
IO2612,C,5000,205,519,128,183.8,-5.0,170.8,3,182.6,1,4908.171,4706.0
IO2612,C,5200,205,699,38,128.4,-6.2,121.6,2,134.0,2,4908.171,4706.0
IO2612,C,5400,205,1182,100,94.6,-5.4,90.4,1,95.0,1,4908.171,4706.0
IO2612,C,5600,205,331,135,66.2,-6.8,64.8,2,69.2,1,4908.171,4706.0
IO2612,P,3900,205,750,190,38.8,5.2,37.4,2,39.2,1,4908.171,4706.0
IO2612,P,4000,205,260,3,53.6,8.4,50.0,2,51.0,1,4908.171,4706.0
IO2612,P,4100,205,1136,42,67.2,6.6,64.4,1,67.6,1,4908.171,4706.0
IO2612,P,4200,205,560,8,88.0,9.6,84.0,1,88.0,1,4908.171,4706.0
IO2612,P,4300,205,665,35,111.0,9.2,107.4,1,114.6,1,4908.171,4706.0
IO2612,P,4400,205,753,113,138.8,11.2,135.4,1,146.2,1,4908.171,4706.0
IO2612,P,4500,205,705,46,176.2,15.4,171.6,1,182.0,2,4908.171,4706.0
IO2612,P,4600,205,786,45,216.2,16.4,214.2,3,223.8,1,4908.171,4706.0
IO2612,P,4700,205,362,41,269.4,23.8,263.6,1,272.8,1,4908.171,4706.0
IO2612,P,4800,205,227,5,329.4,30.6,321.4,1,333.0,1,4908.171,4706.0
IO2612,P,4900,205,152,4,386.0,27.8,383.4,1,394.0,1,4908.171,4706.0
IO2612,P,5000,205,196,8,450.4,26.6,445.6,3,461.8,1,4908.171,4706.0
IO2612,P,5200,205,234,1,590.8,21.0,583.8,1,622.4,1,4908.171,4706.0
IO2612,P,5400,205,383,4,759.6,29.2,746.2,1,785.0,1,4908.171,4706.0
IO2612,P,5600,205,81,4,892.4,-9.2,917.4,1,958.0,1,4908.171,4706.0
