合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,82752,35157,47595,79.68,62053,34535,27518,2026-04-08
159915,创业板ETF易方达,1981408,1048976,932432,117.14,1228192,565628,662564,2026-04-08
159919,沪深300ETF嘉实,199419,131127,68292,54.41,208542,135056,73486,2026-04-08
159922,中证500ETF嘉实,366290,227298,138992,74.39,329219,188782,140437,2026-04-08
