合约标的代码,合约标的名称,成交量,认购成交量,认沽成交量,认沽/认购持仓比,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日
159901,深证100ETF易方达,90579,27101,63478,84.48,73798,40004,33794,2026-05-13
159915,创业板ETF易方达,2189342,1252471,936871,139.81,1668834,695907,972927,2026-05-13
159919,沪深300ETF嘉实,130455,80152,50303,70.44,207933,121995,85938,2026-05-13
159922,中证500ETF嘉实,258312,163457,94855,68.5,321370,190722,130648,2026-05-13
