ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2612,C,10000,214,268,233,163.4,-9.6,166.0,1,169.2,1,8720.213,8230.6
MO2612,C,6400,214,379,7,1967.2,48.4,1910.2,1,1982.0,1,8720.213,8230.6
MO2612,C,6600,214,105,3,1810.0,58.0,1741.4,1,1814.6,1,8720.213,8230.6
MO2612,C,6800,214,124,3,1670.0,77.6,1573.0,1,1652.2,1,8720.213,8230.6
MO2612,C,7000,214,697,5,1420.0,-26.2,1418.2,1,1496.2,1,8720.213,8230.6
MO2612,C,7200,214,787,1,1350.0,52.6,1273.4,1,1347.2,1,8720.213,8230.6
MO2612,C,7400,214,730,10,1180.2,22.4,1129.4,1,1180.2,20,8720.213,8230.6
MO2612,C,7600,214,992,12,1004.0,-20.0,1015.4,1,1050.2,1,8720.213,8230.6
MO2612,C,7800,214,995,67,892.4,-8.8,889.6,1,927.0,2,8720.213,8230.6
MO2612,C,8000,214,1039,83,776.8,-14.0,776.2,1,814.0,1,8720.213,8230.6
MO2612,C,8200,214,1279,186,690.4,2.0,673.6,1,695.0,2,8720.213,8230.6
MO2612,C,8400,214,859,66,590.0,-10.2,579.4,1,594.2,1,8720.213,8230.6
MO2612,C,8600,214,875,149,509.2,-5.4,506.2,1,522.4,1,8720.213,8230.6
MO2612,C,8800,214,584,66,433.8,-10.4,431.8,1,449.6,1,8720.213,8230.6
MO2612,C,9000,214,570,123,374.2,-12.8,367.8,1,385.4,1,8720.213,8230.6
MO2612,C,9200,214,608,35,313.4,-15.4,323.0,1,329.8,1,8720.213,8230.6
MO2612,C,9400,214,1105,153,272.0,-6.2,265.4,1,279.0,1,8720.213,8230.6
MO2612,C,9600,214,1647,296,229.4,-14.2,226.2,1,235.8,1,8720.213,8230.6
MO2612,C,9800,214,434,204,192.8,-8.2,189.6,1,199.4,1,8720.213,8230.6
MO2612,P,10000,214,6,4,1912.0,3.8,1834.6,1,1903.8,1,8720.213,8230.6
MO2612,P,6400,214,1690,131,103.2,-2.8,100.0,3,103.0,1,8720.213,8230.6
MO2612,P,6600,214,1096,150,133.6,-3.0,124.8,1,135.8,2,8720.213,8230.6
MO2612,P,6800,214,754,102,170.6,-2.8,158.2,1,169.6,2,8720.213,8230.6
MO2612,P,7000,214,836,48,207.0,-5.0,198.4,1,209.4,1,8720.213,8230.6
MO2612,P,7200,214,887,56,250.0,-15.0,250.0,1,257.6,1,8720.213,8230.6
MO2612,P,7400,214,1170,105,311.0,-16.0,300.0,4,318.2,1,8720.213,8230.6
MO2612,P,7600,214,820,39,373.2,-19.8,363.0,1,382.0,1,8720.213,8230.6
MO2612,P,7800,214,778,89,435.2,-30.0,435.2,1,455.4,1,8720.213,8230.6
MO2612,P,8000,214,929,82,528.4,-19.4,520.4,1,539.4,1,8720.213,8230.6
MO2612,P,8200,214,1158,29,646.2,-9.8,612.6,1,642.8,1,8720.213,8230.6
MO2612,P,8400,214,439,79,731.0,-20.2,706.8,2,745.4,1,8720.213,8230.6
MO2612,P,8600,214,414,42,875.2,7.6,821.2,1,857.4,1,8720.213,8230.6
MO2612,P,8800,214,438,39,991.8,-3.0,945.8,1,981.8,1,8720.213,8230.6
MO2612,P,9000,214,291,10,1091.2,-36.0,1056.4,1,1130.2,1,8720.213,8230.6
MO2612,P,9200,214,258,12,1270.6,1.4,1198.4,1,1274.2,1,8720.213,8230.6
MO2612,P,9400,214,93,0,1439.4,17.4,1348.0,1,1424.0,1,8720.213,8230.6
MO2612,P,9600,214,270,22,1532.2,-47.0,1505.2,1,1575.0,1,8720.213,8230.6
MO2612,P,9800,214,25,17,1738.0,-2.0,1666.6,2,1735.0,1,8720.213,8230.6
