ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price
IO2603,C,3200,13,144,13,1456.0,-29.8,1449.2,1,1474.6,1,4687.56
IO2603,C,3300,13,124,10,1359.0,-26.4,1350.2,1,1374.2,1,4687.56
IO2603,C,3400,13,165,14,1234.0,-51.4,1250.2,1,1273.2,1,4687.56
IO2603,C,3500,13,175,12,1133.8,-51.4,1151.4,1,1172.6,1,4687.56
IO2603,C,3600,13,195,12,1063.2,-22.8,1051.4,1,1071.6,1,4687.56
IO2603,C,3700,13,141,16,959.2,-25.8,952.6,1,971.4,1,4687.56
IO2603,C,3800,13,89,14,834.2,-50.8,853.2,1,870.8,1,4687.56
IO2603,C,3900,13,155,24,763.4,-22.8,753.6,1,770.0,1,4687.56
IO2603,C,4000,13,161,24,663.2,-23.2,654.6,1,669.8,1,4687.56
IO2603,C,4100,13,179,16,535.0,-51.6,555.6,1,569.6,1,4687.56
IO2603,C,4150,13,24,46,500.8,-34.6,508.6,1,517.4,1,4687.56
IO2603,C,4200,13,394,46,464.6,-21.0,459.0,1,465.0,1,4687.56
IO2603,C,4250,13,73,36,420.4,-15.4,409.6,1,418.2,1,4687.56
IO2603,C,4300,13,548,117,367.0,-20.4,358.4,1,364.4,2,4687.56
IO2603,C,4350,13,92,121,318.2,-20.0,309.8,1,319.4,1,4687.56
IO2603,C,4400,13,1159,250,268.4,-21.2,261.6,1,267.6,1,4687.56
IO2603,C,4450,13,390,517,219.6,-20.2,215.6,2,219.6,3,4687.56
IO2603,C,4500,13,1152,1138,172.2,-18.6,171.8,1,172.4,1,4687.56
IO2603,C,4550,13,858,824,127.0,-15.8,123.0,2,127.4,1,4687.56
IO2603,C,4600,13,4846,6266,85.4,-16.6,85.0,1,85.6,2,4687.56
IO2603,C,4650,13,2942,8286,49.2,-15.6,49.0,1,49.2,1,4687.56
IO2603,C,4700,13,10737,11253,24.6,-9.4,24.4,4,24.6,2,4687.56
IO2603,C,4750,13,7500,4358,10.6,-5.8,10.4,3,10.6,8,4687.56
IO2603,C,4800,13,8285,2307,5.0,-3.4,5.0,28,5.2,2,4687.56
IO2603,C,4850,13,3864,1315,2.8,-1.8,2.8,31,3.0,13,4687.56
IO2603,C,4900,13,3893,744,1.6,-1.2,1.6,7,1.8,8,4687.56
IO2603,C,4950,13,1447,216,1.4,-1.0,1.2,1,1.4,10,4687.56
IO2603,C,5000,13,3868,1064,1.0,-1.0,0.8,47,1.0,2,4687.56
IO2603,C,5100,13,1257,356,0.8,-0.6,0.6,16,1.0,90,4687.56
IO2603,C,5200,13,3116,254,0.6,-0.2,0.4,106,0.6,8,4687.56
IO2603,C,5300,13,900,60,0.6,-0.2,0.6,57,0.8,22,4687.56
IO2603,C,5400,13,2308,190,0.6,0.0,0.4,32,0.6,9,4687.56
IO2603,P,3200,13,782,66,0.4,-0.2,0.2,84,0.4,1,4687.56
IO2603,P,3300,13,455,86,0.4,-0.2,0.2,71,0.4,1,4687.56
IO2603,P,3400,13,342,32,0.4,0.0,0.2,18,0.4,1,4687.56
IO2603,P,3500,13,397,36,0.4,0.0,0.2,51,0.4,16,4687.56
IO2603,P,3600,13,852,31,0.4,0.0,0.2,60,0.6,30,4687.56
IO2603,P,3700,13,405,55,0.6,0.2,0.4,4,0.6,5,4687.56
IO2603,P,3800,13,500,6,0.6,0.2,0.4,10,0.6,2,4687.56
IO2603,P,3900,13,398,50,0.6,0.2,0.4,42,0.6,2,4687.56
IO2603,P,4000,13,1065,68,0.8,0.2,0.6,39,0.8,14,4687.56
IO2603,P,4100,13,403,61,1.2,0.4,0.8,4,1.0,3,4687.56
IO2603,P,4150,13,345,61,1.2,0.4,0.8,7,1.0,2,4687.56
IO2603,P,4200,13,1340,185,1.6,0.4,1.4,24,1.6,17,4687.56
IO2603,P,4250,13,595,114,1.8,0.2,1.6,4,1.8,4,4687.56
IO2603,P,4300,13,1194,669,2.0,0.4,2.0,14,2.2,2,4687.56
IO2603,P,4350,13,1351,453,2.8,0.4,2.8,2,3.0,5,4687.56
IO2603,P,4400,13,2423,1101,4.2,0.8,4.2,6,4.4,162,4687.56
IO2603,P,4450,13,1540,617,5.8,1.0,5.6,6,5.8,9,4687.56
IO2603,P,4500,13,3556,2504,9.0,1.8,8.8,9,9.0,172,4687.56
IO2603,P,4550,13,2612,2403,13.8,2.8,13.8,1,14.0,8,4687.56
IO2603,P,4600,13,6067,5029,23.8,6.2,23.2,5,23.8,1,4687.56
IO2603,P,4650,13,4069,7345,37.2,7.8,37.0,3,37.2,3,4687.56
IO2603,P,4700,13,5479,7324,61.2,12.4,61.0,2,61.2,3,4687.56
IO2603,P,4750,13,2879,1595,99.8,16.8,97.8,2,100.0,6,4687.56
IO2603,P,4800,13,1338,312,140.4,16.0,142.2,1,143.8,1,4687.56
IO2603,P,4850,13,490,157,188.4,17.0,188.8,3,193.0,1,4687.56
IO2603,P,4900,13,556,101,237.8,20.4,239.6,1,242.0,1,4687.56
IO2603,P,4950,13,190,184,286.8,19.2,285.8,1,294.0,1,4687.56
IO2603,P,5000,13,529,135,337.6,21.4,338.8,1,344.0,2,4687.56
IO2603,P,5100,13,111,41,436.8,21.6,435.2,1,443.8,1,4687.56
IO2603,P,5200,13,217,12,561.6,46.6,531.2,1,544.8,1,4687.56
IO2603,P,5300,13,84,35,646.0,31.2,630.2,1,645.0,1,4687.56
IO2603,P,5400,13,93,26,733.0,18.4,729.8,1,746.0,1,4687.56
