ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
MO2606,C,5200,52,185,5,2904.0,-93.2,2877.0,1,2949.4,1,8226.692,8103.6
MO2606,C,5400,52,85,23,2684.6,-114.6,2680.6,1,2750.2,1,8226.692,8103.6
MO2606,C,5600,52,198,26,2547.2,-54.4,2484.8,1,2551.8,1,8226.692,8103.6
MO2606,C,5800,52,114,17,2350.2,-52.6,2287.2,1,2351.2,1,8226.692,8103.6
MO2606,C,6000,52,271,18,2101.4,-102.8,2091.0,1,2152.0,1,8226.692,8103.6
MO2606,C,6200,52,266,28,1888.4,-119.0,1894.6,1,1950.8,1,8226.692,8103.6
MO2606,C,6400,52,337,23,1728.4,-82.6,1700.2,1,1754.8,1,8226.692,8103.6
MO2606,C,6600,52,446,27,1534.8,-84.6,1508.6,1,1560.2,1,8226.692,8103.6
MO2606,C,6700,52,49,31,1429.6,-92.8,1412.8,1,1463.8,1,8226.692,8103.6
MO2606,C,6800,52,650,52,1316.0,-110.6,1318.2,1,1368.2,2,8226.692,8103.6
MO2606,C,6900,52,350,46,1283.0,-47.8,1224.4,1,1272.2,1,8226.692,8103.6
MO2606,C,7000,52,872,261,1137.2,-98.6,1129.0,1,1175.4,1,8226.692,8103.6
MO2606,C,7100,52,285,41,1045.6,-99.2,1041.6,1,1081.6,1,8226.692,8103.6
MO2606,C,7200,52,1336,124,939.0,-115.4,956.0,1,982.6,1,8226.692,8103.6
MO2606,C,7300,52,134,54,868.6,-98.4,867.4,1,894.2,1,8226.692,8103.6
MO2606,C,7400,52,1615,167,779.2,-99.8,779.4,1,808.2,1,8226.692,8103.6
MO2606,C,7500,52,481,284,706.6,-88.4,696.8,1,725.0,1,8226.692,8103.6
MO2606,C,7600,52,1874,159,634.8,-76.4,615.4,1,644.4,1,8226.692,8103.6
MO2606,C,7700,52,736,257,556.0,-77.2,539.6,1,554.6,2,8226.692,8103.6
MO2606,C,7800,52,3391,393,486.6,-68.0,477.0,1,487.4,1,8226.692,8103.6
MO2606,C,7900,52,2336,591,417.8,-70.2,414.0,1,422.8,1,8226.692,8103.6
MO2606,C,8000,52,7022,1586,355.4,-63.8,347.2,1,359.8,2,8226.692,8103.6
MO2606,C,8100,52,1025,565,298.0,-58.0,299.0,1,301.0,1,8226.692,8103.6
MO2606,C,8200,52,4286,2358,246.0,-54.0,241.6,1,246.0,9,8226.692,8103.6
MO2606,C,8300,52,1780,1666,197.6,-53.4,196.4,1,202.6,1,8226.692,8103.6
MO2606,C,8400,52,4906,2308,164.0,-43.0,160.0,2,163.8,1,8226.692,8103.6
MO2606,C,8500,52,1279,1180,133.2,-35.2,128.2,1,133.2,1,8226.692,8103.6
MO2606,C,8600,52,5346,2660,106.2,-33.6,106.0,1,107.2,1,8226.692,8103.6
MO2606,C,8700,52,712,674,84.4,-26.6,85.2,2,85.8,1,8226.692,8103.6
MO2606,C,8800,52,3005,1189,67.2,-23.4,64.6,1,66.2,1,8226.692,8103.6
MO2606,C,8900,52,771,430,53.8,-18.4,52.0,1,54.0,1,8226.692,8103.6
MO2606,C,9000,52,3309,1572,43.6,-15.2,43.6,1,43.8,2,8226.692,8103.6
MO2606,C,9100,52,478,456,34.8,-14.0,34.0,5,34.8,15,8226.692,8103.6
MO2606,C,9200,52,1798,606,28.0,-10.8,26.6,1,29.0,2,8226.692,8103.6
MO2606,C,9300,52,166,195,22.4,-9.0,22.6,1,23.2,1,8226.692,8103.6
MO2606,C,9400,52,1659,452,20.0,-7.0,19.0,1,19.8,2,8226.692,8103.6
MO2606,C,9600,52,2009,1034,14.2,-5.2,14.2,2,14.6,1,8226.692,8103.6
MO2606,P,5200,52,2610,122,3.6,0.0,3.4,7,3.6,1,8226.692,8103.6
MO2606,P,5400,52,933,53,4.4,0.0,4.4,1,4.8,1,8226.692,8103.6
MO2606,P,5600,52,1313,50,5.6,0.2,5.4,2,5.6,2,8226.692,8103.6
MO2606,P,5800,52,1467,168,7.0,0.2,6.8,1,7.0,4,8226.692,8103.6
MO2606,P,6000,52,1490,271,8.4,0.4,8.4,1,8.6,1,8226.692,8103.6
MO2606,P,6200,52,1249,395,11.0,0.6,10.8,1,11.0,2,8226.692,8103.6
MO2606,P,6400,52,2121,534,15.0,0.4,14.6,4,14.8,1,8226.692,8103.6
MO2606,P,6600,52,1815,469,19.2,0.6,19.4,1,19.6,6,8226.692,8103.6
MO2606,P,6700,52,448,104,23.2,1.4,22.6,1,23.6,1,8226.692,8103.6
MO2606,P,6800,52,2317,269,27.4,1.2,27.0,1,27.6,1,8226.692,8103.6
MO2606,P,6900,52,638,158,32.0,1.6,32.0,20,32.4,1,8226.692,8103.6
MO2606,P,7000,52,3168,729,38.2,3.0,38.2,7,38.4,1,8226.692,8103.6
MO2606,P,7100,52,957,231,45.8,4.0,45.0,1,47.2,1,8226.692,8103.6
MO2606,P,7200,52,2984,626,53.6,3.6,53.6,1,55.8,1,8226.692,8103.6
MO2606,P,7300,52,718,274,66.6,6.0,66.0,4,67.0,1,8226.692,8103.6
MO2606,P,7400,52,3435,761,79.6,6.6,80.0,1,80.8,1,8226.692,8103.6
MO2606,P,7500,52,1245,424,95.6,9.6,95.0,1,97.2,1,8226.692,8103.6
MO2606,P,7600,52,3434,832,115.6,11.0,115.4,1,118.2,1,8226.692,8103.6
MO2606,P,7700,52,1263,487,138.4,13.8,133.8,1,141.8,1,8226.692,8103.6
MO2606,P,7800,52,2773,952,165.0,14.6,164.8,5,169.0,1,8226.692,8103.6
MO2606,P,7900,52,1268,763,196.6,20.0,196.4,1,201.6,1,8226.692,8103.6
MO2606,P,8000,52,4222,1495,239.6,26.6,234.0,2,239.8,1,8226.692,8103.6
MO2606,P,8100,52,1055,875,276.4,21.6,275.8,3,284.8,1,8226.692,8103.6
MO2606,P,8200,52,2714,1196,324.8,32.8,323.2,2,333.8,1,8226.692,8103.6
MO2606,P,8300,52,1295,786,386.0,44.4,380.0,1,388.8,1,8226.692,8103.6
MO2606,P,8400,52,1620,566,443.6,47.4,440.2,1,450.6,1,8226.692,8103.6
MO2606,P,8500,52,273,311,523.2,65.2,505.0,1,518.4,1,8226.692,8103.6
MO2606,P,8600,52,1247,222,600.6,71.4,589.6,1,602.6,2,8226.692,8103.6
MO2606,P,8700,52,131,169,706.2,97.0,666.6,1,679.2,1,8226.692,8103.6
MO2606,P,8800,52,686,164,760.2,80.0,733.0,1,763.0,2,8226.692,8103.6
MO2606,P,8900,52,68,77,858.2,97.0,818.4,1,848.4,1,8226.692,8103.6
MO2606,P,9000,52,247,92,935.4,88.4,907.8,1,937.8,1,8226.692,8103.6
MO2606,P,9100,52,32,58,1030.6,95.4,1000.0,2,1029.0,1,8226.692,8103.6
MO2606,P,9200,52,266,61,1133.0,102.8,1083.4,1,1128.2,1,8226.692,8103.6
MO2606,P,9300,52,55,72,1217.4,94.2,1175.0,1,1221.0,1,8226.692,8103.6
MO2606,P,9400,52,134,40,1313.4,95.8,1271.0,1,1318.8,1,8226.692,8103.6
MO2606,P,9600,52,123,88,1492.0,82.2,1464.8,1,1515.4,1,8226.692,8103.6
