ticker,type,strike,days_to_expire,position,volume,lastprice,updown,bprice,bamount,sprice,samount,spot_price,future_price
IO2608,C,4200,39,85,53,480.6,-80.4,465.6,1,480.6,1,4695.383,4656.6
IO2608,C,4250,39,76,39,422.2,-91.6,420.8,1,435.8,1,4695.383,4656.6
IO2608,C,4300,39,91,84,381.0,-86.2,377.2,1,392.2,1,4695.383,4656.6
IO2608,C,4350,39,79,16,351.6,-70.2,335.4,1,350.4,1,4695.383,4656.6
IO2608,C,4400,39,163,818,300.6,-57.2,295.4,1,310.4,1,4695.383,4656.6
IO2608,C,4450,39,69,65,262.2,-53.6,258.4,1,272.0,1,4695.383,4656.6
IO2608,C,4500,39,145,226,227.8,-53.4,226.2,1,234.2,1,4695.383,4656.6
IO2608,C,4550,39,134,235,194.2,-49.0,199.0,1,201.4,1,4695.383,4656.6
IO2608,C,4600,39,199,259,166.2,-41.4,164.0,1,170.2,1,4695.383,4656.6
IO2608,C,4650,39,185,382,142.0,-35.6,137.4,1,145.4,1,4695.383,4656.6
IO2608,C,4700,39,785,1846,118.6,-27.4,118.4,1,118.6,1,4695.383,4656.6
IO2608,C,4750,39,1160,2003,98.6,-21.0,98.6,3,100.0,1,4695.383,4656.6
IO2608,C,4800,39,2411,2586,80.6,-21.0,80.6,4,80.8,1,4695.383,4656.6
IO2608,C,4850,39,1297,1112,64.6,-16.0,64.0,1,65.6,1,4695.383,4656.6
IO2608,C,4900,39,2588,2906,52.4,-13.4,52.0,1,52.4,3,4695.383,4656.6
IO2608,C,4950,39,1804,1344,41.8,-10.2,41.6,1,42.8,1,4695.383,4656.6
IO2608,C,5000,39,3930,3556,34.6,-7.2,34.6,3,34.8,15,4695.383,4656.6
IO2608,C,5100,39,3073,1904,21.8,-4.2,22.2,10,22.4,1,4695.383,4656.6
IO2608,C,5200,39,2534,1058,14.2,-2.8,14.4,1,14.6,1,4695.383,4656.6
IO2608,C,5300,39,1383,930,9.6,-1.6,9.6,1,9.8,9,4695.383,4656.6
IO2608,C,5400,39,952,399,6.8,-0.6,6.6,1,7.0,2,4695.383,4656.6
IO2608,C,5500,39,1597,464,5.4,-0.2,5.4,5,5.6,7,4695.383,4656.6
IO2608,C,5600,39,874,330,3.6,-0.4,3.6,7,3.8,12,4695.383,4656.6
IO2608,P,4200,39,1428,1184,14.6,6.6,13.6,6,14.6,3,4695.383,4656.6
IO2608,P,4250,39,703,333,19.8,9.2,20.0,1,20.2,3,4695.383,4656.6
IO2608,P,4300,39,743,508,26.0,11.6,25.2,1,26.0,2,4695.383,4656.6
IO2608,P,4350,39,902,748,35.2,15.2,33.4,1,35.6,1,4695.383,4656.6
IO2608,P,4400,39,1968,1214,45.6,18.0,45.0,2,45.8,1,4695.383,4656.6
IO2608,P,4450,39,1050,690,56.8,21.8,55.4,1,55.6,2,4695.383,4656.6
IO2608,P,4500,39,1698,1809,72.2,27.8,72.2,1,74.2,1,4695.383,4656.6
IO2608,P,4550,39,1126,866,89.0,32.8,88.8,1,90.0,1,4695.383,4656.6
IO2608,P,4600,39,1359,1718,110.4,39.0,105.6,1,112.8,1,4695.383,4656.6
IO2608,P,4650,39,830,1543,133.4,42.6,133.2,1,135.0,1,4695.383,4656.6
IO2608,P,4700,39,1147,2001,160.0,48.2,155.0,1,163.0,1,4695.383,4656.6
IO2608,P,4750,39,1338,1662,194.0,57.6,184.4,1,195.0,4,4695.383,4656.6
IO2608,P,4800,39,1756,1253,224.6,62.0,216.6,1,219.6,1,4695.383,4656.6
IO2608,P,4850,39,910,329,256.2,58.4,250.0,2,262.0,1,4695.383,4656.6
IO2608,P,4900,39,721,454,294.0,65.6,286.0,1,300.0,1,4695.383,4656.6
IO2608,P,4950,39,262,87,335.4,67.4,325.6,1,340.6,1,4695.383,4656.6
IO2608,P,5000,39,725,200,375.4,64.8,367.2,1,382.2,1,4695.383,4656.6
IO2608,P,5100,39,183,45,468.4,75.4,454.4,1,469.4,1,4695.383,4656.6
IO2608,P,5200,39,97,20,558.2,74.8,539.2,1,569.2,1,4695.383,4656.6
IO2608,P,5300,39,81,17,642.2,65.8,634.0,1,664.0,1,4695.383,4656.6
IO2608,P,5400,39,75,15,738.8,65.4,730.6,1,760.6,1,4695.383,4656.6
IO2608,P,5500,39,71,6,785.2,14.0,828.8,1,858.8,1,4695.383,4656.6
IO2608,P,5600,39,32,13,929.6,60.4,927.2,1,957.2,1,4695.383,4656.6
